area,bedrooms,age,price
4055,1,6,627769
1566,2,7,289279
3127,3,21,531428
3731,5,25,679542
997,4,1,242581
2730,2,23,431036
4382,3,26,686746
1408,4,7,320883
4072,4,20,688418
1947,2,25,303637
4197,1,12,654030
3311,2,16,543644
2594,3,16,448627
1459,4,11,311419
3611,2,21,561801
2169,1,4,331908
2786,2,13,467854
946,5,7,275203
4019,1,4,638550
3711,3,15,624150
2534,4,19,443132
2643,2,9,418702
1288,1,11,192709
3776,5,8,701242
2759,1,1,431750
3185,5,23,574273
3719,3,25,589731
2602,4,24,479337
4861,3,8,777780
4169,2,13,663139
1062,1,22,164823
1423,5,27,309408
1816,5,4,375095
4443,1,8,678271
2849,1,3,432612
4523,2,29,680895
3908,3,9,648636
4890,5,29,819449
2856,2,2,480363
3970,3,2,678432
2482,2,28,381201
3055,5,13,583737
1954,1,15,291697
3991,1,28,582505
2496,3,23,425078
4791,4,12,794913
2448,3,26,422005
2245,4,4,438893
4999,2,26,765724
4723,2,8,757979
1053,5,9,274816
3983,4,23,668529
3357,5,5,610793
898,1,24,145572
3000,4,20,519018
3761,3,18,613250
4577,1,11,700350
3669,1,15,567260
4034,3,28,661537
4591,1,22,709238
1756,4,9,345401
4867,5,17,837992
960,1,27,142862
2100,4,26,380669
4787,2,12,751966
2327,4,7,432928
2018,5,10,400685
3904,4,25,672969
3535,3,26,567362
1754,5,25,362031
4246,2,10,684240
1845,3,27,305086
2493,4,13,460313
4236,5,19,725368
1362,2,11,256978
3285,3,13,551029
4154,2,21,635229
1025,4,8,263965
1759,2,8,324747
3867,1,4,586900
1615,3,15,302838
3920,2,28,601949
816,4,11,199919
2043,4,11,401825
3005,2,1,512832
3324,4,17,573337
1869,5,15,371484
4244,5,20,732538
3365,5,6,628236
1860,1,24,286096
3127,2,22,482642
4220,1,28,628108
1101,4,25,237420
1406,1,15,228549
3970,4,9,677497
1499,4,14,324339
1939,3,18,336954
990,5,26,228370
3100,4,17,556684
1780,3,18,343519
3775,5,5,700774
1984,4,20,388557
4127,4,20,712935
4194,1,9,660696
927,1,11,162916
2865,5,24,541426
2616,4,22,464278
1369,2,1,274110
2695,1,18,418809
3533,5,6,635721
4663,4,27,768976
4814,4,2,829996
3701,2,15,602073
2486,5,29,485103
3809,4,26,664740
954,1,21,139952
3337,2,14,518398
2209,5,5,462377
4857,2,6,788014
1584,1,6,271085
3975,5,22,698706
3606,2,18,562159
1337,3,14,277104
2641,1,10,404559
3255,1,14,483041
1324,1,13,216464
3750,3,3,651139
4931,3,6,823224
4915,4,29,806138
3168,2,8,516892
4647,4,12,788551
3501,2,13,555454
1771,3,11,337177
1966,3,12,355974
3574,4,1,630649
2782,5,17,535263
1653,4,16,337870
4946,2,11,791726
4536,4,13,783471
4569,1,18,688411
1374,2,11,253910
4061,2,28,633950
1948,5,12,395140
2515,3,6,430174
4654,2,9,747154
3291,3,16,542433
3460,4,4,632253
3924,1,3,603833
3851,5,28,679134
804,3,16,184668
1676,2,24,257591
1791,3,27,321724
4942,2,26,750217
1435,3,25,283849
2493,2,12,417782
2482,4,11,462006
919,2,5,176532
1630,2,25,276262
4475,1,18,681633
2169,2,19,364146
1540,1,23,236666
916,5,23,245062
3638,1,6,579342
1950,4,22,388031
2731,1,18,406884
1812,5,26,360021
2464,4,6,455010
1881,3,4,347669
1312,3,12,240851
3649,1,19,543115
1359,1,29,191232
4472,5,27,761380
4143,5,29,729773
4870,2,2,770439
2270,5,17,458464
1380,2,11,226307
3094,4,11,536459
3947,1,21,605698
2479,4,16,471794
4306,5,2,782919
3544,4,2,647734
4156,4,23,707723
4845,4,8,804976
2043,5,13,420139
3918,4,10,688671
2941,2,8,489104
3859,5,4,704273
3759,4,15,659241
3065,5,1,578080
3279,3,11,540741
2435,2,7,393242
2557,4,17,448511
2870,3,27,470997
3649,3,20,614901
4051,5,24,699498
4530,3,18,729755
3289,2,22,505917
2431,2,29,404931
3616,1,22,545789
1815,2,12,306817
2148,3,9,371558
3887,2,5,631049
3639,5,10,651838
1135,1,4,202771
1695,3,5,309948
4346,1,28,630173
1651,3,28,302193
2487,5,10,499399
2731,1,11,414891
4546,4,21,750397
3227,3,24,547753
2368,4,10,457154
4800,1,28,705002
3538,4,8,606947
4298,4,2,744398
4713,1,23,708688
1866,5,8,387603
3244,4,16,568170
4907,4,27,801442
4173,5,22,741249
4769,4,5,805991
3346,4,27,568898
1553,4,25,294255
2882,2,29,466026
3574,5,3,656882
3696,4,12,635121
4985,5,13,879513
1575,3,13,290677
2425,3,10,429316
3869,4,4,658580
1217,5,9,285061
914,5,22,246277
1416,5,24,298165
4774,2,23,743454
4067,3,27,661979
1625,5,2,375570
2316,5,19,462923
3946,2,1,626452
1212,2,25,187427
1528,5,29,317189
4148,1,7,633980
3608,5,17,635789
1475,5,3,358062
4265,2,20,677878
3304,2,20,544252
3767,5,21,676840
3586,5,3,640149
1922,5,3,409609
4879,2,17,770751
2371,5,7,477226
2943,5,27,550958
2487,4,26,436225
4932,1,14,756264
4651,3,17,751910
4240,1,18,658440
4566,4,13,781446
3126,3,20,505887
3714,5,29,658205
4752,4,20,785748
1395,5,21,306276
1528,2,27,234973
2165,4,18,396628
1498,2,4,261077
1195,4,1,265597
4971,4,18,841426
3302,2,1,528083
2619,3,26,426148
1517,1,26,211218
3582,5,13,649971
4377,4,20,751370
943,5,20,260934
3940,2,23,631078
3738,5,10,676622
4436,2,27,702428
4022,5,11,717616
1967,1,9,302510
3416,1,9,525368
1862,1,5,309566
2956,1,26,452609
3782,1,1,595300
4094,1,17,616111
1956,2,22,304266
1532,4,2,313698
1753,5,24,362345
3339,1,13,531869
4124,2,9,677307
4101,2,29,620156
2342,2,4,411693
1991,4,5,384606
3793,5,11,693613
3481,4,24,584228
2017,3,19,368181
2340,2,21,390140
4036,3,3,661361
3186,1,12,500177
4519,1,26,688267
2188,4,19,411684
2656,5,19,502503
2165,3,13,396095
1299,5,28,311304
2480,4,7,446587
1310,1,15,207531
2124,5,23,426812
1955,5,7,401600
2627,1,26,391866
3941,3,8,658438
4286,1,5,672332
2610,5,21,482337
3723,3,14,633667
3014,3,4,523984
4986,1,23,735354
1513,5,10,331374
4402,4,20,757185
4934,5,15,848512
4322,2,18,699913
2043,4,20,386592
4509,3,13,755742
1881,4,29,341998
1255,3,8,248386
1694,3,9,300689
2184,4,16,412508
2758,3,19,456209
3872,3,16,629768
2796,2,7,444862
1304,5,14,296060
2014,5,28,412883
2331,2,14,374925
4240,4,25,719677
1623,1,27,234719
1728,1,4,260606
933,1,26,126334
2905,2,15,473303
4427,2,3,715416
2652,3,5,465169
4975,1,1,762045
3733,4,3,641435
4084,4,15,680218
3611,1,24,552793
2050,1,27,314925
4312,1,8,666473
2056,2,29,319003
4176,2,4,692096
4286,2,2,676268
4384,5,29,738221
2196,4,24,400119
4437,4,24,750777
4130,3,10,672066
3503,2,4,563756
1270,5,3,316542
2153,5,2,441036
3583,4,25,609837
3631,2,17,584692
1157,3,23,229438
3819,2,21,608364
1467,1,24,219373
1945,2,20,319769
4985,1,23,739640
4519,1,13,680133
3545,3,5,600029
1339,4,21,282758
3579,2,9,595802
4936,1,25,755570
4575,2,29,724913
3308,4,25,560543
3579,4,28,599487
1724,5,22,376324
3756,4,6,677191
2381,3,5,436284
4124,1,25,602507
1055,5,10,286825
2638,3,8,447527
2744,2,7,465207
809,1,7,133049
3671,4,6,661942
1597,1,21,249433
1815,2,29,278563
2624,5,20,492198
3936,5,3,721207
2993,5,19,539837
1023,4,22,215304
4958,3,15,798236
4725,3,4,763308
4800,1,28,706772
2433,4,12,469293
2952,5,6,576986
1310,5,19,319466
1184,2,4,237369
1204,2,15,235487
2800,5,9,535229
3556,5,5,643073
2468,4,13,465077
2260,3,23,402601
4436,2,26,707484
3524,3,18,581844
4978,4,5,849056
2848,5,25,524006
4946,3,16,803999
1516,5,27,342434
2623,5,19,498544
2881,1,14,433739
4219,3,25,664507
2374,3,16,427864
1049,5,27,274881
1473,4,15,289114
2965,1,22,455292
1570,5,4,354937
4762,2,7,775805
2784,2,16,451201
1877,1,24,290980
1035,4,22,219259
1188,5,21,266752
3837,3,22,617967
2648,1,21,383871
3614,4,8,620619
4174,3,17,700830
4078,2,16,638434
2052,2,27,314522
4781,3,23,754056
2922,1,10,463396
2950,2,10,476199
2129,5,27,418788
2158,3,2,410276
3282,3,9,570547
2817,2,17,463488
2131,1,11,331250
2158,5,10,439135
3977,1,22,598131
2928,4,25,508391
2980,4,17,529190
937,2,4,193936
4272,2,16,686521
3632,2,20,568504
4379,4,15,723973
3831,1,25,579824
4964,1,27,737186
3393,2,21,549926
4618,5,5,818116
4938,1,6,741514
4623,4,17,769451
4842,3,1,796808
2706,3,25,455530
1560,3,19,283380
4245,5,4,773449
1699,2,17,280167
3747,4,9,668789
2519,5,24,493635
1080,4,2,271980
4066,4,8,705699
2687,2,15,453233
4066,3,7,687066
1466,2,27,242380
4988,5,6,848809
1471,5,1,325367
2769,5,15,525295
4956,2,23,775992
3922,4,26,670441
4700,4,7,808009
1323,1,29,181232
3193,5,25,585486
3917,4,17,684366
3393,1,2,537883
2768,4,27,479818
2553,5,9,487257
3096,3,29,517071
3061,5,9,565488
3086,2,13,518246
3678,4,6,632248
4943,4,6,836614
4444,2,20,704126
2855,2,20,469472
2076,3,21,365576
3566,4,3,614841
1102,4,17,233995
1438,3,17,292869
855,1,12,146803
1325,3,16,276715
4923,5,15,866668
2925,4,13,531109
4087,2,23,644866
1164,5,1,286978
2446,4,17,431781
1718,3,3,349267
3597,5,26,632225
2331,4,15,419236
4145,1,4,647756
2706,1,4,429731
3886,2,18,630013
2875,4,17,510709
1513,1,19,245393
1862,3,11,353895
2776,4,20,482277
2096,3,3,405953
925,3,8,190672
4396,1,14,655086
4083,4,26,699216
2403,5,1,478857
866,1,14,152906
1032,1,2,189222
2956,4,29,506605
1969,4,23,373404
2958,3,4,518227
2293,4,24,418393
4807,3,27,765574
3272,1,29,495002
3460,2,19,530016
3539,5,6,646698
2561,1,25,385005
4314,4,1,744311
2775,5,17,529345
3162,2,8,535024
1676,2,19,299983
4612,3,21,728643
4248,5,1,770501
2112,3,5,393260
2260,1,27,348918
3509,5,16,644097
3124,1,6,483572
2533,3,8,455260
2405,5,13,475677
3363,3,16,544544
4221,5,3,774042
4317,3,19,717722
3197,2,12,520874
4535,3,16,739924
3670,2,27,557482
1960,3,11,353790
1042,5,10,263505
3390,5,25,612838
1863,5,20,377198
3395,4,4,606347
1719,1,12,253942
805,5,23,225442
1267,2,2,241912
4970,5,24,851360
803,4,22,192421
1445,2,19,242366
917,4,25,197483
3728,2,5,589126
3351,3,8,575413
1646,1,7,248869
3562,1,14,561033
1941,4,24,351469
2610,1,23,413376
1523,4,3,325773
1024,4,18,232028
2848,4,16,525778
2373,1,23,358900
2628,4,19,473493
2717,1,19,399914
2826,4,18,521249
4544,5,20,767291
1701,4,16,349212
2839,2,8,448781
809,4,28,205080
1060,3,1,227226
2473,4,17,447811
3019,2,12,502151
2860,2,21,460766
4513,1,11,707124
2419,5,5,480545
1120,4,27,224121
2142,1,12,332557
3176,5,17,592564
3632,4,6,644291
3624,3,1,620765
2794,4,5,497848
3758,2,25,601745
2838,2,28,454253
4290,3,14,714997
4477,1,5,702858
1918,5,22,410260
2404,4,24,426974
4827,2,27,731725
1035,1,1,160420
2769,3,18,464800
2708,2,16,430880
1175,3,9,232318
4330,4,19,745730
3435,5,22,624456
2370,2,5,380787
3360,2,27,529337
4191,4,2,727316
3765,1,15,555911
4443,5,7,799581
4650,2,4,748035
1672,5,1,387328
2052,2,13,363551
2114,5,20,418627
3698,3,22,611553
877,2,7,169308
3421,5,15,603394
1400,1,23,195178
1865,3,14,352581
2936,3,23,474576
3249,1,19,511120
3143,5,22,588104
2663,4,29,477077
2118,1,24,323581
4397,5,20,779972
4562,1,29,672284
2990,1,24,453276
1792,2,18,298555
3512,5,10,628935
2992,4,9,520120
2048,2,25,349622
3854,1,8,603735
4833,1,26,725634
2797,1,29,418788
4487,5,10,789939
2951,5,17,560963
4818,2,2,783235
3910,4,6,671270
2770,2,26,458821
997,3,5,219976
3426,1,28,498398
2002,1,9,335704
2835,1,5,441645
1277,2,18,206087
2054,2,26,331326
1722,1,20,258516
1219,2,9,222463
3004,5,17,541609
3397,5,27,611918
1920,2,17,330327
3868,1,12,587409
1750,2,7,300529
3136,2,27,475477
3043,2,3,497357
3445,3,10,598385
2657,5,2,506423
2665,4,25,463385
3712,4,3,666865
3653,3,16,620733
4028,2,2,666352
4519,3,28,733942
4028,3,24,652853
3171,1,10,503113
3691,5,6,686678
4556,4,22,762347
894,2,26,168078
3474,4,11,612156
2755,4,23,499257
1593,5,7,342493
2634,4,27,469167
2916,4,29,513497
4906,3,15,779709
4125,5,6,739941
3719,1,20,564117
3397,2,27,519756
4005,4,9,692807
1614,2,22,279092
1145,1,20,172745
3149,2,12,503560
1162,1,19,178093
3243,3,20,547720
3065,4,3,541947
2988,1,15,445652
3805,2,2,613609
4081,4,21,698386
1784,3,2,352499
2439,4,22,455933
1627,1,3,248222
3530,3,6,595163
4331,2,15,692190
3735,3,27,607303
4676,3,10,757485
926,5,9,265464
3977,3,1,674759
3856,3,16,621381
1403,4,6,305603
4249,2,9,663597
4946,4,27,805453
4333,4,4,746761
4167,1,27,632895
4168,4,28,683335
4597,5,2,798123
2592,5,29,478531
3661,1,4,557339
4276,2,1,684941
4217,2,19,654637
2445,4,26,423526
2005,4,25,383314
3830,4,10,673335
3672,2,21,567497
3872,3,15,635429
2654,5,27,484486
4821,3,22,773196
3508,3,19,570244
4302,2,16,668915
2132,3,21,358860
1001,1,27,139050
4307,4,24,707631
1374,1,22,223882
1336,5,4,321573
2425,4,2,454747
2922,3,25,475448
1185,5,13,288498
4081,4,28,678172
1274,3,1,265113
1217,1,17,209237
4400,4,13,742886
1754,3,4,339356
2005,1,7,328755
4920,5,17,832638
2790,5,9,551919
4372,5,4,790177
4958,5,19,866334
3513,2,1,572705
3003,4,10,543832
3920,4,4,686394
1766,2,9,288153
4232,3,13,714510
1488,3,14,265064
4501,5,10,804186
1141,1,6,183816
2524,3,16,438555
2592,1,6,425797
2559,4,17,463159
4012,1,10,600854
1789,4,18,331285
3062,2,27,485078
3282,2,22,517009
1751,5,18,359376
1522,3,3,300545
4189,5,20,748103
2879,4,27,499102
3517,5,21,632866
3132,1,25,487171
4176,4,28,697562
2300,2,15,375960
1085,3,15,233541
4295,4,4,745466
2865,4,29,513217
1568,1,27,220954
3857,3,9,628628
2961,2,27,460003
4093,4,26,671992
1746,4,19,337289
4135,1,24,631675
4950,5,28,822075
2281,2,17,394672
2701,3,11,477329
4251,4,25,727404
4864,4,9,819224
854,2,10,168450
2623,5,18,507131
4262,4,20,723288
3879,2,13,614320
1632,1,8,266504
3606,5,7,677636
3290,3,17,560877
1127,4,21,256622
4110,2,23,630993
4100,1,15,609103
4475,3,20,741094
3854,2,15,596094
2943,2,1,474194
2111,3,25,373982
3991,1,14,595244
3338,1,5,508071
4783,5,11,829478
964,4,16,244512
1622,3,2,310290
1743,3,8,325076
1574,3,11,300569
2998,1,29,432830
3956,4,18,662228
4495,5,3,815349
4252,2,26,659683
1714,2,1,304642
2108,3,11,370650
4977,4,16,830973
1313,1,18,185985
2720,4,16,489241
4394,4,23,739254
2209,1,10,351975
3990,3,18,668566
2355,4,6,460941
1604,2,19,264931
2079,1,4,333540
4377,5,27,753733
3701,3,13,636496
2187,1,24,313925
3561,5,14,637404
3479,5,3,652471
2906,4,10,516805
3568,4,6,625082
4753,4,1,810991
3986,1,23,608998
4080,1,24,626709
3373,3,27,568625
3399,4,14,580687
4833,5,8,846439
1036,2,19,184027
2104,3,14,362296
4230,1,10,643043
2101,3,17,365765
3341,3,9,548616
2851,3,29,484421
1241,3,6,253500
2876,2,11,450775
3980,4,25,685030
3457,5,7,637296
4598,3,17,750586
1604,3,28,300251
874,3,28,165933
2975,4,1,527143
4724,1,22,722173
2889,1,5,464721
840,2,9,158826
2881,1,18,453570
2422,3,24,416224
1141,3,27,232517
4852,3,21,782999
2874,2,2,484968
1445,3,29,251542
1409,1,26,210947
1254,4,11,293505
3753,4,27,648646
2508,5,28,469189
4272,1,6,668731
3769,3,26,603640
3828,4,8,684567
3481,1,4,537492
4429,4,18,751291
3867,3,28,620995
2186,4,11,407662
4576,5,5,816533
3666,5,15,666952
4163,4,28,696403
4924,1,18,742730
948,1,2,176286
4650,1,22,685133
2858,4,11,515004
1936,1,26,301684
986,3,25,184908
3654,5,13,667505
2050,3,4,394886
2133,1,22,328323
4993,3,7,817777
4950,1,29,751540
3511,4,11,608657
2585,3,22,438907
1550,4,24,320657
2562,4,4,495615
4720,2,28,745932
1281,1,15,203314
953,5,1,261364
2324,1,23,344927
2920,5,3,540946
3143,1,14,477143
2040,4,6,407241
860,3,18,196254
1738,3,25,306240
2439,2,1,401569
4920,5,6,862081
4369,5,6,765700
2052,5,21,428158
971,4,16,241671
2258,5,29,443069
4349,3,5,734078
4997,4,17,830126
3122,1,10,492301
2436,5,28,460248
3915,5,21,671640
4890,1,18,742499
3804,5,7,680169
1129,1,3,184379
4440,4,13,755490
4694,3,15,779428
4907,1,20,726917
2141,2,19,347434
4463,1,3,705429
1015,5,4,262371
1138,4,5,247239
4862,4,1,833788
3508,1,4,544227
3952,3,12,644493
2550,2,28,393421
3221,4,27,546460
1509,5,24,338258
4526,5,10,778286
4442,3,23,730563
4793,4,25,802362
1288,1,21,194503
846,5,29,215142
4159,3,26,661797
1200,4,20,245930
4790,4,24,812670
3957,4,25,649057
1190,4,13,246936
4653,4,23,782101
1428,5,14,316818
3730,3,23,600250
2321,4,5,439272
1626,2,4,277254
2300,2,14,391979
4094,3,10,680000
3219,1,17,484690
1734,1,10,292267
3842,1,26,560337
2266,2,7,391533
4361,1,16,667645
1414,5,1,331948
1982,4,17,396783
4023,2,21,620287
3467,3,29,580119
930,3,9,192870
3783,4,6,647861
838,2,19,175833
4759,1,13,736349
4387,1,3,690275
1720,5,7,356692
3569,5,22,647276
4911,1,9,766896
1292,3,22,265964
1931,3,5,348098
4321,5,10,753223
1110,4,23,258914
1538,1,17,223909
4041,5,12,705683
1345,5,23,304811
3261,1,16,485361
2604,1,3,402527
4012,3,25,643727
4610,4,22,774094
1613,4,9,322266
4924,1,29,726777
2832,2,15,450646
1044,5,5,264533
1071,5,23,280894
4311,1,13,640730
2571,2,14,407739
2062,3,20,370423
3224,1,15,481397
1720,1,16,255346
4230,5,23,736378
3424,1,13,539272
4560,1,17,689653
2850,1,23,435640
4300,5,8,743184
1965,3,21,363243
1175,3,2,254096
2833,1,5,447145
945,5,6,246356
1231,3,12,231606
1504,3,18,279155
3432,3,22,572649
1763,5,22,366140
3034,5,1,585447
2841,1,17,447339
2628,4,11,501508
2908,3,10,506985
4868,4,19,823898
1738,5,14,367666
1606,5,26,350997
2263,5,10,450332
4215,4,15,701925
810,5,28,211509
2668,1,19,414043
1684,5,4,383393
4364,2,2,722116
2189,4,9,438221
4201,2,10,668007
1624,5,28,340227
3065,1,11,472315
1736,3,14,327425
3600,5,7,665832
3353,1,23,494732
4645,4,15,800400
2596,2,22,419766
853,2,19,167507
1526,2,22,242698
3536,4,15,605027
3970,1,28,584966
2713,4,24,475670
2396,2,8,418692
2714,5,11,507659
3266,3,29,535058
3537,4,9,632466
1649,4,15,334407
2909,1,1,476242
802,1,1,136006
4869,4,19,803420
1692,2,3,281724
2830,3,10,495978
3960,1,8,596506
3176,2,15,526563
2733,5,10,529554
2180,1,1,346310
4481,2,29,681376
2090,2,18,337281
2440,3,2,424515
3482,3,19,594433
1787,5,13,377022
2018,2,22,342792
2155,2,1,363660
4935,3,2,812772
2360,1,29,339095
2218,1,16,344747
1754,4,15,348570
1783,3,13,317981
1774,4,16,367138
4933,3,17,800353
4772,5,21,828922
1713,2,29,274890
836,5,29,231231
4187,3,7,687329
2511,2,24,420870
3820,1,26,558477
1595,1,17,244650
4836,4,7,804870
3911,3,13,630712
2124,3,5,388480
1117,1,26,181131
3196,5,17,581708
2962,2,3,497327
3545,5,7,660470
2391,5,26,472731
3911,1,17,584356
4730,1,7,717337
2796,1,21,441999
2112,4,1,432624
2085,5,17,433823
3183,3,17,547538
4039,2,11,652962
2939,4,25,522149
2504,3,27,438057
1162,5,29,280363
3404,1,3,516517
2516,5,15,470336
4538,2,29,718330
3269,4,21,563856
1356,4,11,301205
1625,2,26,262068
3608,3,28,594226
3519,3,16,594522
4308,4,25,739617
4541,4,22,766431
2374,1,28,361191
4798,3,9,804028
2929,2,24,463960
3203,3,24,512529
4129,1,1,653200
1388,4,29,279790
2812,4,25,507751
2347,1,22,350377
1094,2,16,190855
2785,4,9,495985
3917,5,19,690747
2490,4,12,462973
1936,5,19,378431
2864,1,22,426887
1807,1,9,305729
3314,4,7,602330
4326,3,14,708937
2047,5,29,410102
4702,2,19,719640
2235,4,19,397391
1371,2,2,259075
3182,4,9,567581
2045,3,13,369175
2884,3,15,507406
1077,3,3,245663
2687,3,11,451320
2065,1,21,298433
1840,1,14,306884
1717,5,25,367359
1685,2,8,309302
3552,4,18,598586
821,4,19,205800
3991,1,16,616356
3153,4,2,560140
1486,1,8,258096
1084,5,22,285049
4547,2,6,745711
1562,5,12,357009
3228,3,15,539092
3307,3,25,535693
828,3,8,181143
1706,5,4,377942
3904,4,15,657469
4799,2,28,742768
3794,3,20,632479
3306,3,25,551174
4409,3,17,717046
4353,2,13,672912
2253,3,18,388801
4156,2,2,656696
1315,3,13,253995
838,5,13,223430
4142,5,22,718221
1686,2,15,300794
3644,5,20,637202
3004,2,29,469175
1898,5,27,381723
2623,5,10,504447
4001,2,29,618900
3955,4,3,693087
3893,5,19,684947
4330,3,3,740939
4578,4,22,767767
3696,2,14,591323
4253,4,8,718826
4311,1,27,627537
1788,1,23,287054
4916,5,4,875348
4826,5,27,804741
4979,3,28,802606
2482,4,20,438340
4763,1,11,718754
1733,5,26,369291
4398,4,11,733458
4033,5,27,699960
2780,5,11,542658
2655,1,2,439032
3856,1,17,567775
1592,5,9,368749
1591,2,28,262742
2609,5,28,468840
3055,5,2,564979
4410,3,29,693474
2407,3,24,411730
1784,3,15,325924
4476,2,16,716734
4180,2,25,653398
1319,5,4,333500
1390,3,8,276792
1850,2,9,334255
4433,1,26,682303
1759,5,26,346009
1492,4,5,331426
4699,5,16,823201
3746,4,13,666198
1326,3,7,263965
4024,4,26,679238
3053,3,20,494023
4144,1,17,628371
4765,4,3,827211
2675,5,5,530570
2563,3,19,424790
1320,5,12,325924
1816,2,29,289584
916,3,27,167980
3233,4,7,586917
1383,3,28,236609
1194,5,9,289000
4588,1,28,676640
3568,3,6,598878
4967,4,29,808071
4660,2,26,709772
1073,1,17,150577
2813,2,16,444169
2189,3,23,383814
4366,5,3,787132
965,5,21,237238
2367,4,26,443999
1528,5,4,370132
2843,1,10,440431
4997,5,5,850451
4296,4,21,725844
1578,3,22,287761
1013,3,10,199831
4562,5,12,807163
2376,2,10,382022
3248,3,29,514578
3736,5,13,670032
3917,4,11,684861
1391,5,22,297300
3520,3,16,574036
1513,4,8,338205
1735,5,8,379749
801,1,27,135166
3648,4,25,606803
4844,1,8,751373
2749,2,13,449287
1717,4,27,323182
3974,1,2,629707
3041,3,12,525487
889,3,10,178570
2509,2,12,399168
2969,4,11,521699
3841,4,15,646768
905,4,16,227214
1686,2,17,303244
1227,4,26,256305
2695,3,2,481549
1116,1,18,155862
1434,3,12,274005
2725,3,19,469670
2856,1,26,423652
3944,3,23,658436
3070,2,18,478253
2239,1,17,338025
1352,3,6,257991
1515,5,25,325148
4711,3,15,765632
2513,2,3,418572
4189,4,6,703351
1907,3,3,361333
1050,4,29,229935
3230,5,1,615723
2854,3,13,507344
1258,1,28,195724
1007,4,21,240784
1699,5,26,334365
4261,1,14,631341
4185,1,13,652014
821,1,27,107447
1209,1,4,210206
1694,3,7,310434
1314,3,22,254262
4909,3,10,787358
2934,5,7,546087
4395,5,21,774216
3756,5,15,656732
2360,2,15,369787
2066,5,4,449890
2969,3,23,487223
4438,3,23,714706
1549,2,6,276575
4227,2,24,676494
2727,5,20,529390
4604,4,26,784283
4502,2,5,705333
3156,1,20,466188
3135,3,12,528939
1106,1,1,191498
4465,3,28,734230
2789,3,8,495053
1461,2,1,248216
1111,2,5,199183
3720,1,22,556103
1882,3,6,335916
3771,1,29,580148
1554,4,21,303872
4930,1,3,765349
1152,5,15,275740
1702,1,5,272232
4688,5,28,809969
958,5,24,249348
2777,5,14,540516
1756,4,18,353177
2871,1,16,452217
1203,1,6,196624
3579,4,25,605648
2187,3,24,376608
4253,2,14,654128
1755,1,27,261720
2512,2,24,399918
2073,4,8,405566
