Age,Gender,Salary,JobRole,JobSatisfaction,WorkLifeBalance,YearsAtCompany,Overtime,DistanceFromHome,EducationLevel,PerformanceRating,MaritalStatus,Attrition
50,Male,63507,Sales,1,3,15,Yes,9,3,1,Divorced,Yes
39,Male,117969,Engineer,4,4,11,No,32,2,4,Divorced,No
47,Male,116493,Manager,2,2,9,No,17,5,3,Married,Yes
55,Female,31523,Technician,1,3,27,No,19,5,1,Divorced,Yes
31,Male,111923,Engineer,5,3,15,Yes,27,2,2,Divorced,No
57,Male,82190,Technician,5,2,2,No,37,2,3,Divorced,No
35,Male,72761,Engineer,2,3,7,Yes,34,2,3,Divorced,Yes
52,Male,56169,Technician,3,2,26,No,10,3,2,Single,No
36,Female,70641,Engineer,2,3,21,No,30,3,3,Single,No
29,Male,47990,Technician,4,4,21,Yes,21,4,3,Single,No
35,Male,54661,Sales,3,3,24,No,21,3,3,Divorced,No
44,Male,38419,HR,4,3,23,No,34,2,4,Divorced,No
42,Male,39457,Engineer,5,3,1,Yes,9,4,3,Single,Yes
37,Female,92600,Sales,1,1,21,Yes,34,2,3,Divorced,Yes
39,Male,101102,HR,4,4,0,No,12,1,1,Single,Yes
45,Female,58085,Engineer,5,2,28,Yes,21,5,2,Single,Yes
47,Male,75654,Sales,2,1,13,Yes,20,1,4,Single,Yes
46,Female,31130,Sales,4,4,24,No,6,2,4,Divorced,No
50,Female,27042,Sales,5,3,3,Yes,36,3,2,Single,No
36,Male,95134,Manager,1,3,3,Yes,12,5,4,Married,Yes
22,Male,67982,Technician,4,2,8,No,31,3,4,Single,No
46,Female,90185,HR,5,2,2,Yes,2,3,4,Single,Yes
28,Female,58477,Technician,4,4,4,Yes,16,5,1,Married,Yes
30,Male,77709,Technician,1,4,0,No,1,5,1,Divorced,Yes
45,Female,53716,Technician,4,2,21,No,4,1,4,Single,No
22,Female,103137,Sales,4,4,18,Yes,1,2,2,Married,No
29,Female,61018,Technician,5,2,0,No,35,3,2,Divorced,Yes
45,Male,33061,Manager,3,3,9,Yes,13,2,1,Married,No
32,Female,33609,Engineer,4,2,21,Yes,31,2,1,Single,Yes
38,Female,60371,Sales,3,1,29,Yes,20,4,3,Married,Yes
29,Female,108021,HR,2,2,11,Yes,7,1,1,Divorced,Yes
56,Male,45805,Engineer,4,2,9,No,33,3,4,Single,No
56,Male,32857,Engineer,3,1,1,No,28,5,1,Married,Yes
54,Female,36620,Engineer,2,1,15,Yes,20,5,3,Divorced,Yes
26,Male,33177,Technician,5,1,7,No,32,2,3,Divorced,No
49,Female,55111,Technician,4,1,13,Yes,9,1,2,Single,Yes
28,Male,113578,Sales,5,2,28,Yes,34,1,2,Single,Yes
30,Male,109181,Technician,2,4,14,No,14,3,4,Single,No
29,Female,114941,Technician,5,1,15,No,4,3,1,Single,Yes
33,Male,36826,Technician,5,3,10,Yes,29,2,3,Married,No
55,Male,38890,Sales,1,2,11,No,15,2,3,Divorced,Yes
54,Male,107428,Sales,2,4,1,Yes,17,2,2,Single,Yes
44,Female,83031,Manager,5,3,3,No,19,4,2,Single,No
45,Male,100020,Manager,3,2,29,No,38,1,1,Single,Yes
58,Male,30495,Manager,2,2,2,Yes,9,2,3,Married,Yes
56,Female,53481,Manager,1,3,8,No,27,1,2,Divorced,No
43,Male,36267,Engineer,4,1,17,No,15,5,1,Divorced,Yes
48,Male,31743,Engineer,5,1,18,Yes,37,5,1,Single,Yes
56,Male,79800,Manager,3,3,6,Yes,28,1,1,Divorced,Yes
22,Male,73773,Manager,1,4,3,Yes,4,5,2,Married,Yes
56,Male,82042,HR,2,1,5,Yes,21,5,2,Divorced,Yes
58,Female,74476,Engineer,5,2,18,Yes,34,5,2,Single,No
35,Female,117105,HR,1,2,0,Yes,19,3,4,Divorced,Yes
24,Male,53552,HR,1,4,15,No,37,3,4,Married,No
22,Male,90242,Technician,3,2,10,Yes,4,1,4,Married,Yes
26,Male,70772,Sales,4,1,21,Yes,37,1,2,Divorced,Yes
47,Female,68730,Engineer,4,4,3,Yes,32,4,2,Divorced,No
35,Female,53948,Manager,4,1,17,No,12,3,4,Single,No
48,Male,101311,Manager,2,4,22,Yes,16,1,3,Single,Yes
30,Male,94093,Sales,1,3,25,Yes,14,3,3,Single,Yes
36,Female,94123,Engineer,2,2,28,No,1,4,3,Divorced,Yes
36,Male,41535,Manager,1,4,27,No,32,1,3,Married,No
47,Female,91490,Manager,3,3,28,Yes,21,1,4,Married,No
34,Female,71562,Technician,3,1,4,No,4,1,1,Divorced,No
53,Male,114080,HR,2,3,21,No,9,1,1,Married,Yes
53,Female,83535,Manager,2,1,5,Yes,22,2,3,Married,Yes
25,Male,66269,Engineer,3,4,29,Yes,12,3,2,Divorced,No
51,Male,105674,Sales,5,4,24,Yes,30,3,3,Married,No
58,Male,67462,Technician,4,2,27,No,30,3,3,Divorced,No
44,Male,28127,Engineer,4,2,1,Yes,32,4,1,Single,Yes
36,Male,48147,Technician,3,4,11,No,36,2,2,Married,No
50,Male,70528,HR,4,1,21,Yes,7,3,1,Divorced,Yes
57,Female,102095,Manager,5,1,8,No,17,3,2,Married,No
34,Female,93931,Engineer,5,4,27,Yes,1,1,4,Married,No
53,Female,115925,Sales,1,1,19,No,14,1,1,Single,Yes
28,Female,91381,HR,2,4,28,Yes,38,1,4,Divorced,Yes
43,Male,88749,HR,4,2,11,Yes,26,3,4,Single,Yes
49,Female,63672,Technician,5,1,28,Yes,27,1,3,Married,No
23,Female,38731,HR,2,2,12,No,16,3,2,Married,Yes
27,Female,79512,Engineer,2,3,26,No,7,4,1,Married,Yes
49,Male,76024,Technician,1,2,21,Yes,32,4,3,Divorced,Yes
49,Female,28832,HR,2,3,22,No,25,5,1,Single,Yes
41,Male,57332,Sales,2,2,16,Yes,31,2,4,Divorced,Yes
51,Female,37467,Engineer,3,2,4,No,16,1,1,Married,Yes
32,Male,66025,Sales,1,1,19,Yes,14,1,1,Single,Yes
49,Male,38107,Sales,1,2,12,No,25,2,3,Married,Yes
46,Female,102994,Technician,4,4,28,No,30,2,2,Single,No
54,Male,119202,Manager,2,1,12,No,7,5,1,Divorced,Yes
22,Male,68481,Technician,4,1,9,No,12,2,4,Divorced,No
48,Female,27581,Engineer,5,1,14,No,3,3,4,Divorced,No
34,Female,100118,Engineer,2,2,14,Yes,27,1,3,Divorced,Yes
24,Female,76638,Technician,5,1,17,No,19,2,4,Divorced,No
27,Male,33418,Manager,3,3,17,No,37,3,1,Single,No
29,Male,118627,Technician,2,3,1,No,7,2,2,Single,Yes
48,Male,54113,Engineer,4,2,22,No,16,3,1,Married,Yes
30,Female,109363,Manager,4,1,10,Yes,32,4,3,Single,No
58,Male,88044,Engineer,2,4,12,No,8,3,4,Married,No
54,Male,104955,Manager,4,4,10,No,13,5,1,Divorced,No
45,Male,86030,Manager,2,3,3,Yes,11,3,1,Single,Yes
36,Male,36814,Technician,1,2,14,Yes,20,2,4,Single,Yes
53,Male,35024,Technician,4,2,21,No,18,4,2,Divorced,No
53,Male,88288,Technician,2,2,22,Yes,37,4,2,Divorced,Yes
45,Male,82836,Manager,2,2,24,No,6,3,2,Divorced,Yes
33,Female,32435,Manager,4,2,10,No,20,2,4,Married,No
23,Female,92084,Engineer,1,1,17,Yes,32,4,1,Married,Yes
24,Female,95601,Sales,4,1,15,No,29,3,3,Single,No
58,Male,113416,Technician,2,1,9,Yes,4,3,1,Divorced,Yes
38,Male,28407,Engineer,1,4,11,Yes,7,3,4,Single,Yes
23,Female,57940,Engineer,5,1,12,No,20,4,4,Divorced,No
23,Male,30666,HR,3,2,8,No,34,1,1,Divorced,No
49,Female,62122,Technician,4,2,26,Yes,36,2,4,Divorced,No
44,Male,50092,Engineer,2,4,20,No,7,5,1,Divorced,Yes
58,Male,100645,HR,1,4,12,Yes,33,5,1,Divorced,Yes
53,Female,51505,Technician,1,3,5,Yes,15,2,2,Married,Yes
54,Female,61713,Manager,5,4,5,Yes,32,1,4,Single,No
22,Female,79387,HR,4,3,10,Yes,22,2,4,Divorced,No
40,Female,68169,Manager,1,1,18,No,29,3,2,Married,Yes
23,Female,98282,Sales,5,2,26,No,25,2,2,Married,No
47,Male,102511,Sales,2,3,10,No,5,2,2,Divorced,No
53,Male,76742,Sales,5,3,9,No,14,4,3,Divorced,No
27,Male,65522,Sales,4,3,22,No,35,5,4,Married,No
53,Female,106132,Engineer,5,4,14,No,2,5,1,Divorced,No
25,Female,28880,Sales,1,4,12,Yes,25,3,1,Married,Yes
32,Female,68454,Engineer,1,4,22,No,16,3,1,Divorced,Yes
38,Female,80711,Engineer,3,3,7,Yes,16,4,4,Married,No
59,Female,68539,Technician,5,1,4,Yes,11,3,3,Divorced,No
45,Female,93321,Engineer,2,2,1,Yes,35,1,4,Married,Yes
26,Male,112985,Engineer,4,4,15,No,23,4,4,Single,No
55,Male,39799,Sales,3,1,12,Yes,5,4,4,Divorced,Yes
27,Male,85102,Engineer,5,4,18,No,35,2,4,Divorced,No
43,Male,75726,Manager,2,4,8,Yes,29,2,4,Married,Yes
32,Male,73784,Sales,3,3,14,No,5,1,3,Divorced,No
37,Female,68333,HR,1,3,5,No,3,4,2,Single,No
54,Female,65828,Sales,4,4,7,No,6,4,1,Single,No
30,Female,94526,Engineer,5,2,23,No,23,2,4,Married,No
27,Female,79362,Manager,2,4,13,No,2,5,4,Married,No
37,Female,78997,Sales,1,2,4,Yes,18,5,4,Divorced,Yes
50,Female,75341,Manager,3,1,16,No,30,2,1,Married,No
24,Male,44073,HR,4,4,21,No,38,3,3,Single,No
41,Female,39549,HR,3,2,6,Yes,5,4,1,Single,Yes
57,Female,108795,Technician,3,1,8,No,11,1,3,Divorced,No
40,Female,81920,Technician,2,1,15,No,1,5,2,Single,Yes
47,Female,110326,Sales,1,3,17,No,10,3,4,Married,No
24,Male,100515,Technician,5,1,27,No,26,4,3,Divorced,No
40,Male,45316,Manager,2,3,12,No,33,3,1,Divorced,Yes
41,Female,51183,Technician,4,1,17,Yes,27,4,3,Divorced,Yes
53,Male,118860,Manager,3,1,9,No,12,4,3,Married,No
28,Male,49624,Technician,4,2,0,Yes,2,2,2,Divorced,Yes
54,Female,87515,Technician,2,2,20,No,1,2,4,Divorced,Yes
39,Female,110781,Technician,2,3,17,Yes,1,1,4,Single,Yes
22,Female,71705,Engineer,5,4,18,Yes,33,1,1,Single,No
32,Female,114326,Engineer,3,2,1,Yes,22,3,1,Divorced,Yes
49,Female,51756,Technician,2,1,26,No,12,2,2,Married,Yes
46,Male,85390,Manager,4,3,3,No,39,4,3,Married,No
44,Female,93369,Sales,5,3,10,Yes,36,2,3,Married,No
52,Female,95821,HR,4,3,2,No,21,4,1,Married,No
51,Female,34589,Engineer,3,1,8,No,20,2,4,Single,No
56,Male,39116,Technician,5,2,9,Yes,36,4,3,Married,Yes
28,Female,98181,HR,5,4,27,No,26,3,2,Married,No
37,Female,69786,Engineer,5,3,1,Yes,31,2,1,Divorced,Yes
47,Female,119686,Sales,1,1,6,No,1,5,3,Married,Yes
23,Male,101425,Manager,5,2,14,Yes,38,5,4,Married,No
22,Female,55286,Technician,4,2,26,No,14,4,4,Married,No
33,Female,40994,Sales,4,4,29,No,26,3,2,Married,No
26,Female,115198,Engineer,3,3,18,Yes,7,4,2,Single,No
58,Male,51639,Technician,2,1,9,Yes,12,3,1,Divorced,Yes
53,Female,42205,HR,2,2,23,No,24,1,1,Single,Yes
30,Female,81677,Manager,1,1,19,Yes,19,2,4,Divorced,Yes
56,Female,57930,Engineer,5,2,13,Yes,9,3,4,Divorced,Yes
40,Male,98313,Manager,1,3,3,Yes,35,4,3,Divorced,Yes
37,Female,118851,Technician,3,3,24,Yes,4,1,3,Divorced,No
24,Female,117509,Sales,3,4,10,Yes,32,4,3,Single,No
41,Female,43316,Manager,2,2,2,No,6,5,2,Divorced,Yes
45,Male,52304,HR,3,1,22,Yes,28,5,2,Married,Yes
54,Male,112876,Engineer,5,2,16,Yes,28,2,3,Married,Yes
45,Female,110366,HR,4,1,6,Yes,29,2,4,Divorced,Yes
32,Male,38403,Manager,3,4,25,Yes,5,1,1,Married,Yes
29,Male,105052,Sales,1,2,10,No,5,5,2,Married,Yes
57,Male,109627,Sales,5,3,17,Yes,37,3,2,Divorced,No
59,Female,98495,HR,3,1,27,No,28,5,3,Divorced,No
41,Female,56932,Technician,3,3,13,No,9,2,1,Divorced,No
56,Male,61701,Technician,5,4,13,Yes,29,4,2,Single,No
46,Male,28385,Sales,3,4,5,Yes,14,1,1,Divorced,No
56,Male,82241,HR,4,1,28,No,38,5,2,Divorced,No
46,Female,35367,HR,2,2,8,No,34,3,1,Single,Yes
50,Female,90030,HR,5,3,21,No,37,3,1,Married,No
39,Male,71505,Manager,1,3,2,Yes,14,3,2,Single,Yes
39,Male,58332,Technician,3,1,16,No,18,1,1,Married,No
23,Male,110178,Technician,2,1,27,Yes,33,3,4,Single,Yes
56,Male,101325,Manager,1,1,11,No,34,3,2,Divorced,Yes
37,Female,60268,Engineer,1,4,3,No,28,5,2,Single,No
57,Male,111486,Manager,4,4,19,Yes,36,1,4,Divorced,No
54,Female,50563,HR,2,3,15,Yes,37,4,1,Married,Yes
25,Male,61404,Manager,5,2,28,No,23,4,4,Divorced,No
54,Male,80182,HR,2,1,23,Yes,17,3,2,Single,Yes
35,Male,57991,Sales,2,4,9,Yes,11,2,4,Single,Yes
42,Male,72663,HR,1,2,25,No,32,1,1,Married,Yes
41,Male,90886,Technician,4,1,29,Yes,37,2,4,Divorced,Yes
29,Female,108848,Manager,4,2,28,Yes,15,1,2,Married,No
28,Male,49127,HR,2,1,6,No,4,1,1,Divorced,Yes
24,Male,82692,Engineer,2,2,9,No,39,5,2,Divorced,Yes
38,Male,119389,Sales,3,3,6,Yes,30,3,2,Married,No
54,Female,62500,Engineer,1,1,22,Yes,10,5,3,Married,Yes
33,Female,58785,Engineer,5,1,27,Yes,23,2,2,Divorced,Yes
43,Female,109146,Engineer,5,3,17,No,24,2,2,Married,No
43,Female,114126,Sales,4,1,8,No,36,4,1,Divorced,Yes
51,Male,119979,Sales,1,1,21,Yes,5,5,1,Married,Yes
59,Male,72997,Sales,4,4,17,Yes,37,5,1,Married,Yes
59,Male,32170,Sales,5,3,16,Yes,19,5,4,Married,No
29,Female,38303,Engineer,2,4,10,No,37,4,4,Single,No
48,Male,96743,Technician,1,3,0,No,8,5,1,Married,Yes
48,Male,102852,Technician,1,2,16,Yes,7,5,4,Single,Yes
55,Female,60187,Sales,3,3,3,Yes,13,5,3,Divorced,No
42,Female,90034,Manager,2,3,3,Yes,37,5,4,Divorced,Yes
51,Female,96776,HR,2,4,13,Yes,27,2,3,Married,Yes
54,Male,26893,Manager,4,1,27,No,18,3,1,Single,No
49,Male,38753,Manager,1,3,8,Yes,24,2,1,Divorced,Yes
54,Female,63090,Manager,4,1,12,Yes,2,5,4,Single,Yes
26,Male,89922,Technician,2,3,27,No,16,1,1,Single,Yes
40,Female,101768,HR,3,4,27,Yes,14,1,1,Divorced,Yes
25,Female,84412,Manager,1,3,15,Yes,17,4,2,Single,Yes
56,Male,81030,Sales,2,2,0,Yes,6,2,1,Single,Yes
38,Female,42509,Technician,3,3,2,Yes,35,4,2,Divorced,No
49,Female,93653,Sales,5,3,18,Yes,17,4,1,Married,Yes
51,Female,61929,Sales,2,1,7,Yes,38,1,3,Married,Yes
50,Male,73291,Manager,5,1,17,No,6,2,3,Single,No
27,Female,29042,Sales,4,2,5,Yes,38,3,1,Married,Yes
56,Female,87574,HR,5,3,26,No,21,2,3,Divorced,No
58,Female,62201,Sales,2,1,19,No,35,4,3,Divorced,Yes
45,Female,117282,Manager,5,3,28,No,23,5,3,Divorced,No
50,Female,39016,Sales,1,4,25,No,12,4,4,Single,No
52,Female,50022,Technician,2,4,5,Yes,29,2,3,Divorced,Yes
56,Female,52938,Technician,3,2,28,Yes,27,1,2,Single,Yes
54,Male,68678,Technician,5,4,4,Yes,6,2,4,Single,No
42,Male,86720,Engineer,1,1,11,Yes,21,3,2,Divorced,Yes
53,Female,81805,Technician,4,1,8,No,7,5,2,Divorced,No
44,Male,99323,Technician,4,2,8,No,16,5,2,Single,No
54,Male,26986,Engineer,5,3,16,No,5,4,4,Divorced,No
24,Female,101478,Technician,4,1,18,Yes,15,2,1,Married,Yes
39,Male,107994,Manager,3,4,16,No,21,1,3,Single,No
46,Female,37161,Technician,2,1,21,Yes,4,3,3,Single,Yes
52,Female,45689,Technician,1,2,15,No,5,4,1,Divorced,Yes
24,Female,119699,Engineer,5,4,11,Yes,7,2,1,Divorced,No
45,Female,85924,Manager,4,4,2,No,35,1,2,Single,No
53,Female,99308,Sales,2,4,13,No,36,2,4,Single,No
43,Male,88745,HR,3,2,16,Yes,15,1,2,Single,Yes
44,Female,26211,Manager,4,2,21,No,28,2,3,Divorced,No
23,Male,25229,Sales,4,3,15,No,2,2,1,Single,No
48,Female,73542,Manager,1,3,20,Yes,5,4,3,Married,Yes
23,Female,39345,Sales,3,3,11,No,7,2,1,Married,No
47,Female,56819,Sales,3,2,27,No,22,2,4,Divorced,No
38,Male,72779,Manager,5,4,23,No,31,4,2,Single,No
54,Female,107421,Engineer,1,4,29,No,32,4,3,Single,No
30,Female,117244,Manager,5,1,1,Yes,8,5,4,Married,Yes
50,Female,90584,Manager,1,3,7,Yes,11,5,3,Single,Yes
47,Female,44950,Sales,3,4,11,No,1,4,1,Divorced,No
56,Male,40173,HR,1,4,20,Yes,19,3,3,Divorced,Yes
46,Female,83032,Sales,1,4,15,No,38,1,4,Divorced,No
45,Male,53036,Technician,1,4,7,Yes,37,4,4,Single,Yes
34,Female,96356,Manager,2,2,27,No,7,5,2,Single,Yes
28,Male,39292,Manager,2,3,15,No,39,2,3,Married,No
57,Male,28052,Engineer,3,4,9,Yes,25,4,1,Married,Yes
41,Female,69377,Sales,1,4,19,No,22,4,3,Divorced,No
22,Female,114317,Engineer,3,4,14,No,27,5,2,Single,No
29,Male,92838,Manager,2,4,3,No,38,5,1,Single,Yes
37,Female,92819,Sales,1,1,25,No,39,3,1,Divorced,Yes
35,Female,40620,Sales,5,4,14,Yes,15,5,2,Divorced,No
33,Female,55461,Technician,2,4,3,Yes,2,5,1,Married,Yes
44,Male,45750,Technician,2,4,29,Yes,8,5,4,Married,Yes
36,Female,113719,HR,2,1,10,Yes,6,2,4,Divorced,Yes
49,Female,34472,Technician,1,2,5,No,20,4,1,Single,Yes
55,Female,94263,Sales,4,1,3,No,27,4,3,Married,No
23,Male,82602,Technician,5,4,8,No,23,5,1,Divorced,No
53,Female,50523,HR,5,2,8,No,17,3,3,Single,No
44,Male,55766,Manager,3,4,2,Yes,13,5,2,Divorced,No
43,Female,91060,Technician,1,2,22,Yes,4,3,4,Single,Yes
46,Male,34079,Sales,2,4,27,Yes,20,4,4,Married,Yes
43,Female,33399,Manager,4,4,4,No,25,3,2,Single,No
43,Female,85726,Sales,1,2,14,No,22,3,2,Single,Yes
27,Male,117906,Manager,1,2,27,No,17,1,4,Divorced,Yes
36,Male,41532,Sales,4,4,8,No,11,3,2,Single,No
58,Male,107357,Technician,2,1,1,Yes,25,3,1,Married,Yes
54,Female,68162,Technician,1,1,2,Yes,5,2,1,Divorced,Yes
29,Female,28749,HR,5,1,25,Yes,21,4,3,Divorced,No
26,Female,36353,Manager,5,1,20,No,26,5,3,Divorced,No
25,Female,53477,HR,4,2,11,Yes,16,1,3,Divorced,Yes
27,Male,49570,Engineer,2,2,15,No,21,3,1,Divorced,Yes
53,Female,111373,Technician,4,1,4,Yes,32,2,4,Divorced,No
51,Female,36437,Manager,1,3,9,Yes,4,2,3,Divorced,Yes
56,Female,63104,HR,5,3,27,No,38,5,1,Married,No
37,Female,88370,HR,3,3,14,No,8,5,4,Married,No
34,Female,29551,Engineer,4,4,13,No,9,4,2,Divorced,No
51,Female,93359,HR,3,1,13,Yes,17,3,1,Single,Yes
40,Female,79880,Sales,3,4,22,Yes,13,2,2,Divorced,No
38,Male,37916,Technician,5,2,12,Yes,9,1,3,Divorced,Yes
40,Female,105703,HR,4,2,15,Yes,6,4,4,Divorced,No
49,Female,66445,HR,3,3,29,No,27,3,1,Single,No
47,Female,72636,Engineer,1,3,7,Yes,37,5,3,Married,Yes
58,Female,98927,Sales,2,2,7,No,39,3,3,Single,Yes
47,Male,103194,HR,2,3,29,Yes,24,5,4,Single,Yes
44,Male,54685,Technician,5,3,16,No,9,3,2,Single,No
30,Male,76134,Technician,4,2,29,No,11,1,3,Single,No
33,Male,113916,HR,4,4,16,Yes,35,4,4,Divorced,No
22,Male,119455,Sales,2,3,2,Yes,29,5,4,Married,Yes
22,Male,92847,Technician,1,4,0,No,8,1,1,Single,Yes
55,Female,64993,Technician,2,3,16,Yes,17,2,3,Married,Yes
53,Male,69333,Sales,2,1,25,No,7,1,2,Divorced,Yes
46,Male,83865,Sales,4,4,23,Yes,12,1,2,Divorced,No
22,Female,104096,HR,3,4,15,Yes,15,1,3,Married,No
37,Male,74756,Manager,1,3,16,Yes,29,5,2,Divorced,Yes
26,Female,86192,Engineer,4,4,24,Yes,24,2,4,Married,No
43,Female,85686,Manager,2,1,1,Yes,37,4,4,Single,Yes
50,Male,73733,Manager,3,2,24,No,14,1,3,Divorced,No
24,Female,50993,Technician,1,1,13,Yes,11,5,2,Divorced,Yes
33,Male,55492,Sales,5,2,6,No,35,5,4,Married,No
47,Male,45981,Technician,1,1,24,No,17,4,3,Divorced,Yes
37,Female,49143,Engineer,1,1,18,No,27,3,4,Single,Yes
58,Female,102603,HR,2,4,0,Yes,3,2,3,Divorced,Yes
43,Male,114452,Engineer,2,1,16,No,2,2,1,Divorced,Yes
50,Female,85277,Technician,5,3,26,No,4,1,1,Divorced,No
35,Female,74990,Technician,5,3,9,No,18,3,3,Married,No
49,Male,87888,Technician,5,3,5,No,20,2,1,Single,No
26,Male,94351,Technician,4,3,6,No,21,1,1,Single,No
51,Female,74999,Manager,4,4,24,No,14,3,2,Divorced,No
26,Male,95309,HR,2,3,5,Yes,8,5,1,Divorced,Yes
33,Male,37446,Manager,2,1,4,No,2,1,2,Married,Yes
37,Male,55733,Technician,5,3,29,No,26,3,1,Single,No
47,Male,101000,Sales,4,4,1,Yes,19,4,1,Divorced,Yes
47,Male,73632,Manager,3,2,17,No,28,2,4,Single,No
42,Male,46576,Technician,4,1,23,Yes,29,1,3,Divorced,Yes
57,Male,28320,Technician,2,1,16,Yes,5,5,1,Divorced,Yes
54,Female,35750,HR,4,4,23,No,28,1,3,Married,No
51,Male,78463,Engineer,2,2,26,No,26,2,3,Single,Yes
58,Female,51572,Manager,5,3,25,Yes,5,2,4,Single,No
44,Female,42948,Manager,5,2,26,Yes,15,3,3,Divorced,Yes
31,Female,63826,Manager,5,1,22,Yes,9,5,3,Divorced,Yes
26,Male,114051,Technician,3,1,6,Yes,32,3,1,Married,Yes
57,Male,52867,HR,3,1,20,No,26,5,4,Divorced,No
55,Female,85231,Technician,2,2,18,Yes,37,1,3,Single,Yes
52,Male,91262,Technician,1,3,6,Yes,15,1,1,Married,Yes
31,Female,116356,Sales,3,1,22,Yes,4,3,4,Single,Yes
40,Male,97233,HR,2,4,6,No,36,4,1,Married,Yes
53,Male,69678,Manager,4,3,15,Yes,20,2,4,Single,No
22,Female,37963,Engineer,5,1,11,Yes,27,3,4,Divorced,Yes
26,Female,89360,Manager,5,3,14,No,21,3,2,Single,No
25,Female,74434,Technician,5,4,14,No,22,1,2,Single,No
37,Male,91617,HR,2,2,10,Yes,7,2,2,Married,Yes
45,Female,45269,HR,5,1,1,Yes,31,3,3,Single,Yes
37,Male,101312,HR,3,4,2,Yes,17,1,1,Divorced,No
23,Male,104732,Sales,4,1,18,No,7,1,4,Married,No
49,Male,106494,Manager,5,1,19,No,19,3,1,Married,Yes
53,Female,113905,Sales,2,2,27,Yes,28,3,3,Single,Yes
48,Female,102225,Engineer,4,2,24,Yes,10,1,2,Married,Yes
41,Female,107867,Technician,5,3,25,Yes,27,3,2,Divorced,No
45,Male,62528,Sales,1,4,14,No,13,2,1,Single,Yes
33,Male,103972,Sales,5,4,15,Yes,2,1,1,Divorced,No
56,Female,90602,Technician,3,2,0,Yes,22,1,4,Single,Yes
54,Male,115748,HR,4,1,14,No,20,3,1,Single,Yes
