Area_sqft,Bedrooms,Bathrooms,Location_Rating,Age_of_House,Price
1483,2,2,7,16,245391
1463,5,4,6,25,266348
2798,5,2,8,4,402983
2431,2,3,1,17,258366
2295,4,4,10,24,392876
1936,5,3,7,21,296162
2653,3,3,7,2,372192
2320,4,1,7,12,346168
3289,2,4,7,1,451567
1363,4,2,10,12,307736
2091,1,3,10,12,348233
2436,1,2,8,12,348363
1498,5,1,9,19,274379
2960,5,1,9,25,401533
801,3,4,2,17,135164
1441,4,1,7,20,243282
3067,1,1,7,24,364360
2389,5,2,4,24,277962
1654,4,1,9,26,274415
2559,5,1,8,28,347904
3232,5,3,1,11,340869
2461,1,1,2,13,261933
1953,1,3,2,27,196038
1876,5,1,8,8,312803
2507,2,1,1,10,240267
2495,5,4,4,8,339434
2533,5,4,10,20,402589
2239,3,3,5,8,302633
3094,3,1,9,9,419283
1635,3,2,7,7,288134
1002,2,4,8,14,249055
922,2,2,9,28,223312
1200,5,4,7,2,276362
1566,3,4,5,25,234764
1093,2,1,5,11,171721
3127,1,4,10,8,454424
997,5,2,6,13,214553
2730,4,4,5,21,366571
2991,5,3,9,15,451151
1408,4,1,3,28,157299
1947,3,1,3,3,250476
986,4,3,7,23,211356
3311,3,3,7,14,418169
2594,1,3,6,15,344499
1459,4,4,3,2,217105
2755,5,1,7,29,370254
3250,3,3,5,19,392731
2169,5,4,7,12,342456
2786,2,3,2,25,284601
2334,3,2,6,20,321985
946,4,2,8,4,227715
2534,3,1,1,3,259930
2643,5,4,4,5,346232
1288,1,2,1,3,141939
2759,3,2,1,25,267359
2463,4,4,10,15,422778
3398,2,3,8,19,441950
3185,1,4,7,2,442451
1440,2,3,10,12,307345
2602,3,2,1,5,284457
3320,5,2,2,22,340277
2769,5,2,4,17,350311
2998,4,1,1,14,315616
2238,5,1,3,28,253379
2434,1,1,8,27,319706
1062,5,4,8,22,233886
2587,4,2,8,10,387501
2991,3,2,6,3,401537
3193,3,4,6,4,441427
1423,5,1,5,6,241581
1816,2,4,9,24,314870
1680,3,1,4,25,211716
2849,5,2,10,22,427896
2127,4,3,7,16,315946
3101,5,1,1,7,323424
1252,3,2,9,15,260910
1983,4,2,7,21,307832
2856,5,3,10,28,417288
2482,1,2,9,25,357577
3055,4,2,7,20,413321
1954,1,1,2,26,181154
1203,2,1,6,11,217610
2999,4,3,10,22,431384
2901,1,3,4,21,342042
2496,3,2,3,1,295607
1427,3,1,2,5,174568
1386,2,3,6,13,250185
2448,4,3,8,21,372839
2243,4,4,6,14,333506
2245,4,3,9,9,364921
903,2,2,5,17,162328
1053,4,1,2,15,125906
3357,3,3,8,21,442778
2296,1,4,9,7,383911
898,3,1,10,27,226180
3000,3,3,4,22,337108
2684,1,4,6,22,346740
2719,3,3,10,12,414662
1677,2,1,8,23,263711
1137,1,1,9,6,252242
1756,3,1,5,21,233915
2504,5,2,6,16,343697
960,3,3,4,26,146651
2403,2,2,5,5,325297
1197,4,1,7,9,243316
2100,3,4,9,14,370966
1615,4,3,10,8,341552
2327,5,2,6,14,326422
2719,3,3,6,12,358377
2215,1,4,8,10,354041
1958,4,2,4,20,259661
2018,5,1,3,20,238988
1200,1,2,7,26,202771
1439,1,3,5,21,221089
1259,1,3,2,13,158088
1754,1,3,2,29,186347
1269,3,3,6,19,213058
1845,3,1,8,15,295890
2493,3,2,1,8,279261
2885,5,1,6,23,374130
3077,5,1,2,21,329727
1362,5,1,2,10,171811
3285,2,3,7,3,442507
2599,5,3,10,21,412958
2874,3,3,1,3,325885
1025,3,2,6,26,195268
1597,2,4,7,5,292977
3131,2,3,8,16,434476
1759,5,2,7,17,297361
2304,4,3,6,6,325888
1252,2,3,9,26,241777
1615,1,1,3,20,171682
1458,3,1,6,20,229102
1346,1,1,4,16,173840
2015,3,2,2,24,228911
816,3,4,1,2,124902
2043,2,4,1,20,235367
3005,2,2,10,15,436739
3324,1,3,3,18,346492
1869,3,2,4,1,272715
3365,1,3,2,26,333190
2946,4,2,1,29,282701
2568,1,2,4,29,278833
1860,5,2,7,19,297743
3127,1,4,10,12,455098
3344,5,1,6,8,414884
1101,5,2,6,6,215793
980,5,4,9,12,271426
1406,4,1,2,7,190916
1499,1,1,4,18,179978
1792,1,2,5,22,227257
1939,4,3,1,14,217087
990,3,3,8,8,241872
3100,2,3,8,24,425242
1780,1,2,6,20,239504
2806,2,3,5,22,354050
1984,4,4,8,14,345182
927,3,4,3,5,158207
2865,3,4,3,9,343152
2616,3,4,2,8,298337
2558,4,1,5,2,329564
3413,5,4,3,28,370149
1369,5,3,3,16,197832
2146,2,2,6,13,301844
2695,5,3,8,7,410578
1425,5,4,2,16,214143
2486,3,1,4,7,299030
954,3,4,7,27,206399
3337,2,2,1,14,322475
2209,1,3,1,14,236192
1584,2,2,10,12,304847
1045,2,2,7,1,224588
2300,4,2,7,1,340385
2505,4,3,1,12,288348
1337,2,4,1,20,149928
2690,2,2,4,21,311687
2641,2,3,5,15,340664
1720,5,1,5,4,254378
3255,4,3,4,7,384619
1324,2,1,8,16,236552
2329,3,3,7,3,341178
835,3,4,9,7,257520
1484,5,2,7,29,238888
819,5,4,10,24,255255
3168,1,3,1,22,321051
3359,1,2,7,6,431318
1199,1,1,1,16,129842
1771,5,3,7,24,284953
2706,5,2,10,8,431624
3318,5,1,8,23,425724
1966,3,1,9,22,320062
1915,5,4,3,6,284354
1633,3,3,4,10,231651
2623,1,1,4,16,286809
2782,1,2,9,11,391191
1653,1,1,7,13,240447
850,2,1,3,29,111896
1374,2,4,10,6,317429
1948,4,4,5,24,270712
2997,4,2,7,1,410441
3161,4,4,8,21,430857
3417,2,1,1,19,316379
3152,2,1,2,12,325729
2515,4,4,7,24,352848
1481,4,1,2,27,167282
1637,5,1,7,6,269271
1877,4,2,9,18,327063
3291,5,4,2,13,385877
3460,3,1,7,7,426803
3111,2,4,4,23,372973
2395,4,2,2,13,277952
804,2,4,7,21,191480
1926,2,1,5,8,273477
2019,2,4,1,21,203801
1573,3,1,5,17,218184
1676,1,1,3,9,188778
1791,4,1,7,20,284142
846,1,2,6,13,164300
1068,1,4,8,2,256577
1169,1,2,5,4,207624
1435,2,4,2,29,158761
1929,5,2,9,25,323771
2493,2,3,8,2,378110
2482,2,1,6,4,324376
1456,1,1,10,18,267289
919,2,2,7,5,207762
1630,1,3,9,19,299361
2610,5,1,7,10,354892
1881,4,4,3,18,264184
2774,1,2,6,25,333894
2169,5,1,7,21,320806
1540,4,1,2,10,186092
916,3,2,3,5,146155
2653,1,2,4,17,314003
1950,1,4,10,22,345902
2731,3,4,6,13,369356
1812,3,1,1,23,190740
2464,1,1,9,17,360218
1881,3,2,5,9,269197
1433,2,1,7,24,230304
1312,4,1,9,12,274901
1919,4,2,9,14,340762
1941,4,1,1,14,193780
1359,2,1,1,8,154737
1287,3,3,3,23,161408
1696,5,4,6,5,291357
2012,3,2,2,19,222243
1503,1,3,10,28,282328
2270,4,4,1,14,259094
1380,3,4,1,9,181696
3094,5,4,5,7,400111
953,1,3,4,27,135188
2479,2,3,1,26,253437
1796,2,4,4,26,228232
2043,5,1,3,8,244960
1892,1,1,2,14,201859
1808,4,3,9,22,316677
2941,3,3,1,28,304794
2573,1,3,7,14,357934
1757,2,4,4,11,258545
1252,5,1,5,14,206947
2027,5,3,10,21,369720
3065,3,3,5,8,391239
3321,5,2,1,3,349397
3279,5,4,6,28,424236
3188,1,2,9,29,408749
1350,4,1,2,29,150892
2435,3,2,7,23,330872
2112,1,2,6,18,289591
2557,4,2,5,3,336277
1156,1,4,4,13,180461
2870,1,1,4,12,313746
2585,5,2,6,15,356491
3369,4,4,4,18,400251
2581,3,1,5,5,317099
3289,3,3,6,7,415222
2431,4,2,5,11,313509
1815,5,1,7,26,269764
2148,2,2,9,27,324610
1315,1,3,10,11,289406
1135,5,1,7,27,214835
2582,4,4,7,15,389900
3105,1,1,4,10,350097
1296,3,4,1,15,168241
1695,2,1,8,13,275074
3007,3,4,4,14,375478
1651,4,3,1,17,181927
2487,1,3,5,13,303239
2731,4,3,8,10,396053
3227,1,1,4,25,354036
2368,5,3,8,1,393323
1756,2,2,8,1,316724
2436,5,3,3,15,308435
2091,5,4,9,16,370505
2240,4,4,3,12,281198
1991,2,4,1,26,204094
1866,1,1,2,24,187887
1084,1,2,6,6,194276
3244,3,3,10,6,466575
811,1,2,2,12,120695
2430,4,2,6,25,335230
3346,5,4,1,15,363579
1553,5,4,1,4,222030
2882,5,4,5,24,382198
889,2,1,10,4,256800
1575,1,2,9,2,311334
3452,4,2,8,27,449382
2425,2,1,3,24,256955
1217,3,1,3,12,156831
914,4,1,1,7,120621
1416,4,2,3,20,173642
1625,4,2,1,9,182638
2449,5,4,8,9,405891
2316,4,4,1,8,263600
1212,1,2,5,14,199891
1528,4,4,9,1,314020
1475,5,1,7,23,239364
2692,4,3,4,21,315773
3304,3,4,9,23,451293
3039,3,2,9,12,442883
1922,5,4,2,25,246648
2371,1,4,10,2,416657
1777,1,4,10,13,325890
1808,2,3,6,27,251039
2943,5,1,4,4,363053
2487,4,2,8,20,369808
836,5,3,7,18,201507
2348,2,2,7,19,312601
3126,5,2,10,16,468501
3064,5,2,9,27,416597
1672,2,3,5,14,245268
2621,1,1,6,29,300449
2096,4,2,1,8,229190
2909,2,1,6,12,365862
1395,3,1,2,9,184658
2703,1,4,6,6,356354
1528,3,3,9,26,293910
2165,1,3,8,18,330358
1196,4,4,9,2,291179
1498,4,4,10,23,309598
3024,5,1,8,8,429710
2435,3,2,3,24,282698
1195,1,3,8,14,249958
3292,4,2,6,6,423958
875,2,2,6,10,189529
1064,4,4,6,8,236673
3302,2,2,3,17,350362
2619,1,1,10,25,361390
1517,4,4,1,29,167054
1650,4,2,4,12,243123
2190,1,4,10,17,364234
943,4,1,6,13,191722
1684,2,1,10,19,301006
1195,4,2,2,12,172847
2292,3,4,7,16,359129
1967,5,2,7,25,293691
3416,2,2,4,27,359525
1862,3,4,4,5,277938
2956,1,2,1,25,293561
1865,2,1,2,16,189393
2009,5,4,9,25,355585
3245,5,4,10,6,496726
1433,1,4,8,11,262198
1956,1,4,8,17,313013
2038,2,2,9,26,321595
1532,4,2,7,23,259301
1034,1,1,9,14,237334
1550,4,3,10,6,326685
3435,3,3,2,25,368740
1753,5,1,6,23,260897
3339,4,3,3,28,370139
2342,5,1,6,11,319277
1997,4,2,3,12,256379
2476,3,4,8,13,387483
1991,1,4,4,4,280155
3017,3,2,10,7,446053
2216,1,4,6,2,341468
3481,1,4,9,6,497205
2017,5,3,2,6,262888
2340,3,2,2,18,247066
2876,4,3,7,20,400944
2245,3,3,2,8,262226
3186,5,4,2,8,383912
2319,1,4,4,29,264350
2188,5,2,9,8,366426
2656,2,4,8,8,400869
2165,2,4,2,1,273997
1299,4,2,8,2,283256
2480,5,4,4,12,342601
1310,4,3,2,15,191794
1016,4,2,10,4,266311
2124,2,4,7,28,315692
1955,4,1,6,25,265077
2627,2,2,10,3,409793
2610,1,2,5,14,315689
3292,5,1,1,22,329751
2005,4,4,2,23,251241
3014,2,4,8,8,431144
890,3,2,1,13,110841
1513,4,2,3,23,197717
2681,1,4,2,19,298488
838,1,4,5,22,158568
972,3,3,4,5,191283
1452,2,2,7,13,255864
1553,4,2,5,28,215586
2043,2,1,8,26,306734
1881,1,3,4,20,245161
2483,2,4,6,1,355862
3323,1,3,4,16,369014
1255,2,4,2,29,139935
1628,3,4,1,23,173385
1694,5,3,1,24,195428
2184,3,2,8,2,364665
2758,3,4,4,7,365435
3234,5,3,5,6,410274
2796,5,1,8,5,419735
3195,4,3,7,29,396412
989,4,1,8,4,235149
1304,3,4,8,2,282262
2014,3,3,6,10,311669
2331,1,3,10,22,355488
1623,1,1,2,5,197275
1728,4,3,6,18,269072
1733,4,3,1,10,212904
1940,1,4,1,23,200686
933,1,3,3,22,141185
2905,2,2,3,28,298264
1484,2,1,5,15,209987
3020,1,3,1,27,295668
2652,2,1,10,9,414723
1614,5,1,6,11,266387
1972,4,1,7,26,277713
879,4,3,10,21,239000
1002,1,3,3,25,135795
2052,3,1,4,25,228320
2499,1,2,10,29,357574
2050,2,1,10,17,334881
2482,3,2,10,21,376245
2355,2,1,10,9,388518
2894,5,4,10,23,435503
2056,2,1,3,16,239308
2349,5,1,1,6,261161
1966,5,3,8,22,318835
2196,2,2,10,11,358224
1270,2,4,10,23,268600
1835,5,2,2,17,226202
2153,3,4,1,4,247562
1767,5,1,8,29,290976
1157,4,3,7,15,230903
1467,5,3,7,1,282987
1172,3,2,4,22,171129
1831,4,3,9,29,317869
1945,1,2,6,20,269483
2171,1,2,2,1,253725
889,3,4,1,9,119984
1339,5,2,1,12,172895
1668,2,4,9,4,336000
840,3,3,4,28,146247
1539,4,2,5,22,236572
2746,4,2,3,13,333545
3349,1,1,4,7,388790
2024,4,2,8,8,344576
1728,3,2,4,28,216784
2836,4,1,9,13,411678
3308,3,1,9,11,464494
1724,2,3,6,9,263045
2381,1,2,2,25,247717
1189,4,3,10,24,270387
2417,3,3,7,16,345599
1055,5,1,9,10,253937
1508,1,4,6,11,246603
2638,2,3,3,12,315077
2744,3,4,7,28,372020
3297,2,2,5,14,389492
809,2,1,1,19,71242
1597,4,2,3,12,200701
1676,4,2,5,18,239272
1828,3,1,7,21,263372
1815,5,2,3,17,220193
2624,3,1,6,3,346814
1173,5,4,5,1,250677
2993,2,2,1,29,294969
1023,1,1,10,19,241546
2062,3,3,6,29,295513
3024,3,2,8,4,429497
2602,5,4,1,23,282895
1652,2,1,2,28,179140
862,2,2,4,16,147937
2040,5,2,2,12,233195
1488,2,2,9,21,264127
2284,4,4,10,21,396664
2433,1,1,8,13,353718
2952,3,3,8,17,415057
1310,1,3,4,8,207302
1184,3,3,5,13,220704
1204,4,1,4,20,184936
1317,2,3,9,26,261575
1275,5,4,2,5,205987
2800,4,1,8,18,375542
2468,1,2,2,15,257489
2693,5,4,1,12,294940
2260,2,2,10,29,348395
1513,4,3,3,17,206764
882,5,4,9,25,231893
1968,4,1,3,15,251343
3304,4,4,9,2,477177
2701,2,2,7,6,364020
2848,3,1,10,17,404554
850,5,4,1,16,144433
1484,2,4,10,17,308209
1516,4,4,5,25,247552
2269,2,4,9,20,363055
1248,3,1,3,9,179879
1680,5,2,9,27,289810
1287,3,4,5,5,228907
2623,1,1,9,23,368812
2881,5,2,10,1,462344
2942,3,4,6,6,395508
2374,4,2,9,24,370979
3001,5,2,7,14,415751
1049,5,1,7,17,214705
1473,2,2,8,25,254515
1237,4,1,7,19,227843
2965,1,4,9,1,455549
1570,3,2,9,1,323159
1067,2,2,6,13,187654
2784,3,3,7,14,390687
1877,1,4,2,27,211725
1035,1,4,9,6,262598
1188,5,3,1,27,145573
1562,1,3,1,6,175709
2648,3,1,3,1,299672
3248,4,1,6,14,399313
1423,4,2,5,3,231760
2052,5,2,2,23,233171
1377,3,2,9,10,279248
2922,3,2,10,19,417539
1234,1,1,4,19,171779
2950,3,4,4,19,344894
1563,2,2,5,28,198234
2129,1,4,8,23,339509
2945,2,2,10,4,433436
2158,5,3,4,20,270780
3282,4,2,5,19,398357
1246,5,2,4,10,195802
2817,4,2,6,27,357355
2131,5,1,3,25,256784
1048,3,3,8,2,241206
965,2,2,6,4,204572
2158,4,2,10,24,365786
1819,1,4,5,6,258602
1341,2,3,2,7,178366
1558,1,2,10,16,301192
2928,2,4,10,29,414475
2980,2,4,7,7,424770
1596,5,1,2,18,195630
937,4,4,1,20,120845
3031,4,2,7,26,391274
2153,2,1,5,26,270922
2675,3,1,1,22,264287
868,3,2,4,19,139494
3393,1,3,4,9,399500
2900,1,4,10,29,431361
2273,5,1,7,20,323400
1004,2,3,9,10,245998
2973,1,2,2,13,311342
842,1,4,1,18,106597
2706,2,4,2,16,307901
2958,5,1,7,22,372182
1560,1,4,10,17,315763
2942,5,4,6,22,406105
2794,4,4,4,13,342404
2735,5,4,1,12,319997
1699,3,2,1,10,193231
1159,3,3,5,1,222389
2519,5,2,1,8,280853
1080,3,2,7,21,220084
2687,4,1,1,22,276813
1466,2,4,1,18,165536
892,3,2,2,2,147810
1471,3,4,10,16,328401
2769,5,2,3,12,313553
860,4,2,1,9,115817
3481,2,1,9,3,483558
1828,5,3,10,22,334684
2289,5,3,8,26,343874
1403,4,2,5,21,219629
1481,2,1,2,28,147981
3381,4,4,5,4,423575
2228,2,4,6,26,306357
3492,4,2,1,2,372250
3080,5,3,4,8,395695
1323,5,1,9,10,272219
3193,1,3,2,16,326620
3393,3,4,5,23,410769
2768,4,3,1,11,304644
1901,1,4,4,18,250102
2553,3,1,4,22,279815
2636,4,1,6,14,344944
3096,2,2,10,8,444645
2894,3,2,9,23,409057
1944,5,3,3,15,258918
3061,1,1,9,17,411583
3086,3,1,6,21,380173
1879,3,2,7,18,301024
3197,5,4,10,6,508394
906,4,3,2,23,124638
847,2,3,10,14,255657
1136,5,2,6,23,193617
1849,2,1,6,3,269206
2080,4,2,2,7,243819
2855,3,2,2,15,302837
1424,2,2,2,21,167576
2690,1,2,10,24,378550
2076,1,4,1,28,213464
2515,5,4,5,16,343923
1102,4,1,8,16,239036
1438,5,2,2,8,205095
855,5,4,5,7,200410
1525,5,1,8,6,288575
1325,1,2,10,2,296552
1273,1,3,5,22,208057
827,5,4,2,13,146517
2925,1,1,3,12,300679
1164,4,3,6,15,223936
1325,5,2,5,27,209155
2135,1,2,4,9,265603
1682,2,2,4,2,231241
1830,5,4,5,17,289315
1826,5,1,2,27,189521
2446,4,3,9,29,371242
1718,3,1,2,5,219271
3210,3,4,10,11,480123
2574,4,1,2,22,259733
2331,4,4,10,19,401840
2706,4,2,9,24,378194
2015,3,3,3,7,248308
2454,4,2,10,2,415829
1284,1,1,7,16,215167
2875,5,2,4,12,359768
1513,5,3,6,23,253452
1862,2,2,4,15,245003
2776,2,3,10,1,449123
2096,5,3,7,25,329675
2054,1,2,1,13,203570
2933,3,4,3,23,332546
925,3,1,3,6,144996
1336,1,4,1,13,147469
2992,3,4,6,18,394875
2872,4,2,9,3,433418
2403,5,1,8,1,361691
866,5,1,7,15,199074
1032,1,4,10,26,263685
2956,3,2,8,13,395325
1969,2,1,6,5,282209
2958,2,4,9,25,409207
3075,3,1,3,13,329821
910,2,2,10,22,235918
2293,1,2,10,5,389271
2881,1,2,9,28,383029
1422,3,1,4,19,205890
3442,2,3,7,21,420121
3272,1,1,9,24,409697
3460,1,3,2,28,337926
2341,4,2,2,18,247985
2105,4,4,9,21,368227
2561,1,3,3,22,294271
2775,3,2,9,10,403581
3162,5,2,5,24,365309
1676,5,3,6,8,275967
2789,1,4,2,15,312392
2112,1,2,8,21,301719
2260,1,3,9,25,340413
3124,3,4,2,20,351190
2533,4,4,6,28,346478
2405,1,2,6,25,296052
2326,1,1,8,27,326279
3471,2,1,10,23,453696
3363,3,2,5,22,391586
3197,1,4,9,4,476160
2430,2,2,1,2,254076
1960,5,3,9,24,332948
1558,1,1,10,6,308152
1042,1,3,7,28,185198
3390,2,2,4,3,386721
1863,3,2,3,7,250223
1028,1,4,10,10,268200
3395,5,4,6,23,438223
1719,1,4,1,6,202967
2046,5,3,3,16,270894
805,4,4,2,2,141046
1267,4,2,9,24,258291
2555,5,4,3,17,322115
874,3,1,2,13,105549
803,1,4,4,1,178393
2670,1,3,2,6,309996
1445,4,1,1,5,163557
917,5,1,6,25,164535
2429,1,1,10,13,377644
3351,1,3,8,28,412832
2821,3,2,10,23,400204
1746,2,4,10,18,341654
3421,4,1,2,29,331685
2264,4,1,9,12,357441
993,2,1,3,7,138970
1646,1,2,8,15,272746
2215,3,2,8,3,344614
2258,3,3,3,16,272956
3020,4,2,3,1,353229
2468,3,4,6,27,320465
3173,2,3,1,16,321058
2233,1,3,4,24,279147
1941,2,4,1,12,233624
2610,5,4,3,19,309676
1523,4,4,9,27,291543
1024,3,3,5,8,204966
1331,5,3,5,23,204840
912,3,3,4,12,158882
2987,1,4,3,15,346293
1358,1,4,5,2,237264
2848,1,1,4,29,303191
2937,3,2,8,17,393008
1453,5,1,4,7,226118
1119,1,4,8,13,259004
2373,5,3,6,1,371315
2628,3,4,5,6,344262
2717,5,2,4,13,335050
938,3,1,4,11,169553
2826,3,1,4,10,344634
3106,4,3,9,16,452504
1701,3,1,4,27,193730
1489,3,1,9,26,269720
2839,2,4,10,24,419859
809,1,1,6,23,151731
1060,4,1,10,20,249154
2742,4,1,7,17,362928
2473,4,3,10,17,415425
3019,2,3,3,4,355960
2860,3,4,8,5,428654
1991,1,1,3,28,194484
2419,5,3,1,23,274305
1120,3,3,10,14,261242
2142,2,4,5,20,287573
2436,3,2,2,10,285537
3176,3,1,10,14,463506
2794,2,3,6,28,355727
2743,4,4,10,1,464415
2838,4,4,9,11,428950
1918,1,4,1,26,201202
2404,1,3,4,23,295406
3165,4,1,1,18,309477
1035,5,2,1,16,145988
2769,3,1,8,29,366259
1133,5,4,2,27,153285
2708,3,4,1,18,287102
1175,4,2,8,8,265162
1960,1,1,4,28,229416
3435,1,4,3,10,395629
2370,5,4,4,26,313102
3360,1,1,5,10,397865
2119,4,4,1,5,246046
2655,5,1,1,10,285981
2172,3,4,3,18,260472
1672,1,1,6,21,222953
2052,2,2,1,24,203020
3117,1,4,2,6,352584
2651,3,2,7,3,389417
2114,5,4,1,8,244839
1524,3,4,7,9,293744
2852,2,3,4,5,340542
877,4,1,10,29,232179
3421,1,2,6,2,417530
931,5,2,8,2,240901
1400,4,2,9,7,281522
2572,3,1,6,17,341275
1865,5,3,9,10,348237
2936,4,2,4,12,365336
3249,5,1,6,2,414523
3143,2,4,8,10,447620
2663,2,2,9,20,385556
2118,1,2,3,1,257886
1415,1,3,2,4,198684
3269,2,2,6,13,396710
2688,5,2,4,12,333756
1846,2,4,1,11,206442
1374,1,1,8,29,228753
2990,2,1,9,10,406195
1792,2,3,9,15,302943
2992,5,4,2,5,344074
2048,4,1,9,25,316014
1302,1,4,7,17,250276
2797,5,1,5,28,318538
1620,2,4,7,5,304571
2951,2,3,9,2,444385
2770,4,2,8,9,398184
997,1,3,6,6,214633
2469,1,1,4,18,276646
3426,3,3,1,14,350167
3238,1,2,6,19,380919
2002,4,3,3,14,263881
3401,3,1,6,8,408406
2271,3,1,6,17,303128
2446,2,3,4,28,295789
2492,2,2,2,3,289951
2112,1,3,9,29,329441
2835,3,2,2,10,308663
1277,2,4,3,17,193115
2054,4,2,10,27,347781
1722,2,4,1,11,211543
1219,2,3,7,8,250753
3004,3,2,1,1,314794
3397,3,4,9,13,477088
1920,5,4,1,21,237004
1750,4,4,5,4,271452
3136,3,1,7,7,411446
2077,1,3,3,14,239493
3043,4,4,9,5,473656
3445,4,2,8,24,452565
2657,3,4,3,28,296332
1316,4,1,5,11,206241
2458,3,3,7,17,349380
2665,2,1,4,5,308802
1941,5,1,5,20,265577
2732,2,1,3,3,307285
1614,3,2,9,5,304690
3075,3,3,10,26,436808
2700,2,3,9,15,407905
3063,1,2,7,19,381984
