Engine_CC,Mileage,Horsepower,Age,Brand,Fuel_Type,Transmission,Condition,Price
1292,25.2,327,17,Suzuki,CNG,Manual,,543404
1980,19.8,269,9,Suzuki,Diesel,Manual,,817434
2862,12.5,76,9,Honda,Petrol,Manual,,665715
864,15.7,345,10,Toyota,Petrol,Manual,6.0,486536
3368,17.0,262,13,BMW,Petrol,Manual,6.0,1458364
2167,19.6,158,15,Suzuki,Diesel,Automatic,9.0,811495
1952,23.2,338,5,BMW,Diesel,Manual,5.0,1567946
2827,10.0,268,3,Suzuki,Diesel,Automatic,8.0,1076882
3495,25.8,188,8,Kia,Diesel,Manual,4.0,1249584
2295,8.2,347,20,BMW,Petrol,Automatic,7.0,1209239
1962,15.4,311,10,Audi,Petrol,Manual,8.0,1273162
2322,8.5,324,13,BMW,Petrol,Manual,6.0,1702152
3440,15.9,330,3,Tata,Petrol,Manual,8.0,1050517
1191,18.5,247,8,Toyota,Petrol,Manual,9.0,686399
2498,18.2,273,9,Suzuki,Diesel,Manual,9.0,1049544
1218,11.3,342,12,Toyota,Diesel,Manual,10.0,931647
3136,20.9,270,11,Tata,Petrol,Manual,10.0,846330
1178,8.9,135,2,Tata,Petrol,Manual,4.0,621569
2596,23.2,207,18,BMW,Petrol,Manual,6.0,1061419
3078,26.9,272,9,Hyundai,Diesel,Manual,5.0,849350
2888,14.8,168,2,Hyundai,Petrol,Manual,7.0,941148
2982,18.3,188,2,Tata,Petrol,Manual,9.0,777535
1000,15.6,69,3,Hyundai,Diesel,Manual,7.0,684670
2663,8.1,106,16,Suzuki,Petrol,Manual,6.0,601539
1579,15.7,155,19,Honda,Petrol,Manual,5.0,645033
1302,23.8,162,4,Audi,Diesel,Manual,10.0,1558486
3254,19.9,205,18,BMW,Diesel,Automatic,9.0,1723237
2551,10.0,86,20,Honda,Diesel,Manual,4.0,680745
1604,24.9,279,18,Hyundai,Petrol,Automatic,7.0,801071
2946,18.6,77,10,BMW,Petrol,Manual,6.0,1317848
2695,24.8,226,11,Honda,Diesel,Automatic,7.0,1085771
2370,19.6,141,17,Toyota,Petrol,Automatic,10.0,682460
1760,19.2,131,20,Hyundai,Diesel,Manual,10.0,693687
3460,10.1,313,16,Kia,Diesel,Manual,5.0,678475
2285,11.3,221,20,Honda,CNG,Manual,4.0,533576
3490,27.4,97,13,Kia,Petrol,Manual,10.0,433655
1828,12.6,260,2,Suzuki,Petrol,Automatic,5.0,648301
1302,27.5,259,2,Toyota,Petrol,Automatic,10.0,942022
1197,18.6,314,14,Hyundai,Diesel,Automatic,9.0,1073748
1670,10.7,238,4,Audi,Petrol,Automatic,8.0,1695465
1192,10.0,94,17,Tata,Petrol,Automatic,5.0,339969
1006,12.2,141,13,Hyundai,Petrol,Manual,5.0,593896
1838,26.5,279,4,Kia,Petrol,Manual,7.0,972653
2681,16.3,217,3,Suzuki,Petrol,Manual,10.0,849953
2284,15.9,63,12,Audi,Petrol,Manual,5.0,753744
1663,14.3,226,8,Audi,Diesel,Manual,6.0,1281945
1363,10.9,263,2,Audi,Petrol,Manual,9.0,1426083
1820,17.8,253,6,BMW,Petrol,Manual,7.0,1238751
895,10.6,294,10,BMW,Diesel,Manual,7.0,1354531
2723,24.7,265,12,Kia,Diesel,Automatic,8.0,1098765
2557,15.4,209,10,Tata,Petrol,Manual,9.0,850829
3332,15.5,218,10,Audi,Petrol,Manual,,1547171
3078,17.5,338,3,Tata,Diesel,Automatic,,1377334
2478,16.9,225,20,Toyota,Petrol,Manual,5.0,630801
1340,27.9,127,10,Audi,Petrol,Manual,8.0,1028932
1859,18.9,147,9,Honda,Petrol,Manual,6.0,682353
3372,9.8,276,20,Audi,Petrol,Manual,8.0,1288543
1983,20.1,60,19,Kia,Petrol,Automatic,9.0,775633
2522,11.0,194,14,BMW,Diesel,Manual,4.0,983087
2619,8.6,244,2,BMW,Diesel,Manual,9.0,2080190
3425,27.4,199,5,Honda,Petrol,Manual,5.0,953993
3404,23.5,165,20,Honda,Petrol,Automatic,8.0,836692
2397,27.6,192,8,Hyundai,Diesel,Manual,4.0,866724
3493,17.6,167,7,Toyota,Petrol,Automatic,5.0,874527
1595,18.6,237,6,Toyota,Petrol,Manual,8.0,725366
1851,11.4,205,11,Kia,Diesel,Automatic,8.0,763720
2443,12.9,133,12,Kia,Diesel,Automatic,9.0,880259
2163,24.8,167,18,Kia,Petrol,Automatic,10.0,615103
2781,15.1,181,19,Kia,Diesel,Manual,,960634
2154,24.5,76,10,Kia,Petrol,Automatic,8.0,1012486
2463,22.2,255,14,Kia,Petrol,Manual,7.0,444160
2329,11.5,311,3,Toyota,Petrol,Automatic,10.0,1354908
2838,18.1,178,18,Suzuki,Diesel,Manual,8.0,814780
2296,21.5,221,15,BMW,Diesel,Manual,9.0,1518076
3037,12.7,257,6,Toyota,Diesel,Manual,7.0,1041937
2208,24.6,104,10,Kia,Petrol,Manual,7.0,618245
2200,18.9,238,12,Hyundai,Petrol,Manual,4.0,595406
2106,11.3,103,7,Hyundai,Petrol,Manual,5.0,623103
3480,19.7,330,17,Toyota,Petrol,Manual,7.0,792830
3475,28.0,137,1,Honda,Petrol,Automatic,6.0,1234660
1772,11.0,237,18,Hyundai,CNG,Manual,,337554
2568,24.3,62,15,Tata,Diesel,Manual,,586122
2082,12.1,273,19,Honda,Petrol,Automatic,,667299
1509,23.6,133,1,Tata,Petrol,Manual,4.0,667218
2279,22.7,110,5,BMW,Petrol,Manual,6.0,1201521
2234,14.0,126,15,Suzuki,Diesel,Manual,4.0,584008
1448,14.5,152,3,Hyundai,Diesel,Manual,4.0,915424
1117,23.9,235,1,Honda,Diesel,Manual,4.0,1129090
2057,17.2,204,8,Kia,Petrol,Manual,6.0,351239
1483,22.6,66,12,Tata,Petrol,Automatic,6.0,408513
1463,11.0,328,19,Toyota,CNG,Manual,4.0,505432
2798,25.1,63,12,Tata,CNG,Manual,10.0,686880
2431,22.2,197,13,Tata,Petrol,Automatic,4.0,464997
2295,26.1,290,1,BMW,Petrol,Manual,10.0,1667716
1936,10.6,147,19,Audi,Petrol,Manual,5.0,850207
2653,19.9,76,6,Audi,Diesel,Automatic,10.0,1750788
2320,20.0,111,8,Toyota,Diesel,Manual,10.0,983744
3289,15.1,193,4,BMW,Diesel,Automatic,10.0,2367528
1363,17.2,270,5,BMW,Petrol,Manual,,1427717
2091,8.8,278,7,Kia,Petrol,Automatic,8.0,1009906
2436,22.9,264,4,BMW,Petrol,Manual,5.0,1558286
1498,19.0,270,20,BMW,CNG,Manual,5.0,934435
2960,9.2,336,4,Audi,Petrol,Manual,5.0,1344381
801,21.6,83,15,Honda,Diesel,Automatic,,807323
1441,17.3,63,5,BMW,Petrol,Automatic,5.0,846474
3067,8.7,211,9,Honda,CNG,Manual,5.0,693542
2389,27.4,318,2,Tata,Diesel,Automatic,,1127333
1654,27.0,227,7,Tata,Petrol,Manual,9.0,832942
2559,18.3,235,17,BMW,Diesel,Manual,6.0,896971
3232,9.9,350,16,Hyundai,Petrol,Manual,4.0,869265
2461,23.1,115,17,Suzuki,Petrol,Automatic,4.0,667171
1953,17.8,167,20,Hyundai,Petrol,Automatic,10.0,859260
1876,14.0,200,2,Tata,CNG,Manual,7.0,594038
2507,17.8,214,11,Suzuki,CNG,Automatic,9.0,706725
2495,18.4,321,2,Hyundai,Petrol,Manual,8.0,963877
2533,19.3,332,1,BMW,Diesel,Manual,6.0,1909040
2239,16.8,291,2,Honda,Diesel,Manual,4.0,948407
3094,20.1,300,9,Suzuki,Diesel,Automatic,,931371
1635,26.4,317,2,Audi,Petrol,Manual,5.0,1485676
1002,15.2,308,15,Toyota,Petrol,Manual,8.0,705086
922,22.5,136,10,Suzuki,Diesel,Manual,6.0,575856
1200,25.9,239,15,Suzuki,Petrol,Manual,9.0,577727
1566,17.1,125,10,Audi,Petrol,Manual,7.0,1122879
1093,16.9,230,17,BMW,Diesel,Manual,10.0,1281537
3127,20.0,81,9,Hyundai,Petrol,Automatic,6.0,637170
997,19.8,166,18,Hyundai,CNG,Manual,10.0,345808
2730,24.1,286,4,Tata,Petrol,Manual,9.0,908976
2991,17.5,275,9,Honda,CNG,Automatic,4.0,1001371
1408,27.9,128,16,BMW,Petrol,Manual,10.0,883024
1947,9.2,143,4,Audi,Petrol,Automatic,4.0,1490523
986,8.1,162,16,BMW,Petrol,Manual,8.0,1184158
3311,20.8,98,19,BMW,Diesel,Manual,6.0,1273977
2594,14.0,72,1,Hyundai,Diesel,Manual,4.0,885692
1459,12.8,240,6,Audi,Petrol,Automatic,5.0,1495292
2755,14.2,327,10,Kia,Petrol,Automatic,5.0,713839
3250,13.1,72,16,Toyota,Diesel,Manual,7.0,815030
2169,8.6,179,4,Suzuki,Petrol,Manual,8.0,892217
2786,27.4,116,13,Hyundai,Diesel,Manual,4.0,628197
2334,12.4,99,16,Audi,Petrol,Manual,7.0,805551
946,22.7,187,20,Honda,Diesel,Manual,5.0,453803
2534,23.3,232,6,Suzuki,Diesel,Manual,7.0,839356
2643,26.6,94,11,Suzuki,CNG,Manual,7.0,416980
1288,8.6,318,3,Kia,Diesel,Manual,,1225950
2759,25.4,64,20,Kia,Petrol,Automatic,4.0,478562
2463,18.5,277,10,Hyundai,Petrol,Manual,4.0,632206
3398,20.7,70,1,Tata,Diesel,Manual,8.0,955100
3185,20.9,176,20,Honda,Petrol,Manual,10.0,988961
1440,24.4,243,11,Hyundai,Diesel,Manual,7.0,763757
2602,14.7,175,12,BMW,Diesel,Automatic,7.0,1743906
3320,22.7,221,14,Tata,Petrol,Manual,8.0,669980
2769,18.6,126,8,Audi,Petrol,Manual,5.0,1468879
2998,23.9,259,11,Kia,Petrol,Manual,6.0,923266
2238,27.8,90,4,Honda,Petrol,Automatic,10.0,1209415
2434,12.0,134,7,Suzuki,Petrol,Manual,5.0,700326
1062,27.9,296,10,Hyundai,Petrol,Manual,8.0,847487
2587,9.8,125,19,Kia,Petrol,Manual,10.0,518582
2991,8.0,129,4,Suzuki,Petrol,Manual,10.0,760696
3193,8.9,79,2,Honda,Petrol,Manual,7.0,1215018
1423,14.8,285,18,Kia,Petrol,Manual,7.0,824321
1816,20.7,258,14,Kia,Petrol,Automatic,4.0,532855
1680,9.4,98,16,Suzuki,Diesel,Automatic,4.0,543295
2849,8.1,204,11,Hyundai,Petrol,Manual,7.0,780639
2127,26.7,104,10,Tata,Petrol,Manual,,507330
3101,24.4,150,17,Hyundai,Diesel,Manual,9.0,890403
1252,24.2,297,14,Toyota,CNG,Manual,10.0,858937
1983,25.7,129,4,Kia,Petrol,Manual,4.0,745059
2856,22.0,225,19,Suzuki,Petrol,Manual,4.0,524221
2482,10.1,189,2,Toyota,Petrol,Manual,5.0,1004518
3055,16.0,273,7,Tata,Petrol,Manual,7.0,839953
1954,22.5,148,9,Toyota,CNG,Manual,10.0,790090
1203,13.6,311,19,Suzuki,Diesel,Manual,7.0,774126
2999,21.7,131,16,Honda,Diesel,Manual,8.0,577506
2901,8.5,224,16,BMW,Petrol,Automatic,5.0,1593572
2496,14.1,108,18,Tata,Diesel,Manual,,373015
1427,19.0,111,11,Hyundai,Petrol,Automatic,6.0,829706
1386,20.6,348,7,Audi,Petrol,Manual,6.0,1227760
2448,19.5,337,9,Tata,Petrol,Automatic,10.0,852613
2243,22.0,173,4,Toyota,Petrol,Manual,,990406
2245,8.1,298,13,Honda,Petrol,Automatic,4.0,1003849
903,10.0,192,4,Suzuki,Diesel,Manual,10.0,568822
1053,25.4,333,19,Honda,Petrol,Manual,6.0,437719
3357,21.6,225,2,Honda,Petrol,Manual,8.0,1157573
2296,10.3,302,9,Suzuki,Petrol,Manual,10.0,634759
898,24.8,197,12,Audi,Petrol,Manual,,762111
3000,12.8,138,2,Suzuki,Diesel,Manual,4.0,851913
2684,17.6,229,6,Audi,Diesel,Manual,4.0,1380066
2719,10.9,182,5,Suzuki,Diesel,Manual,6.0,896006
1677,22.2,235,5,Toyota,Petrol,Manual,4.0,1006875
1137,21.3,141,20,Audi,Diesel,Manual,5.0,665109
1756,12.2,146,5,Toyota,Diesel,Manual,5.0,836780
2504,25.3,284,4,Tata,Petrol,Automatic,6.0,1290367
960,16.0,75,9,Audi,Petrol,Automatic,,801705
2403,13.9,222,10,Audi,Diesel,Automatic,8.0,1894805
1197,11.0,157,16,Suzuki,Petrol,Automatic,4.0,608514
2100,13.3,215,10,Audi,Petrol,Manual,7.0,1379942
1615,8.4,61,10,Toyota,Petrol,Automatic,10.0,974773
2327,19.7,228,19,Kia,Petrol,Manual,6.0,657876
2719,24.8,151,10,Tata,Petrol,Manual,,628556
2215,19.0,240,6,Kia,Petrol,Automatic,4.0,1046580
1958,12.4,290,17,Suzuki,Diesel,Manual,6.0,818138
2018,8.7,207,5,Hyundai,Petrol,Manual,6.0,982077
1200,12.3,339,6,Tata,Diesel,Manual,8.0,851087
1439,16.3,248,15,Kia,Petrol,Manual,7.0,499500
1259,23.2,187,19,Tata,CNG,Manual,4.0,381887
1754,11.8,66,18,Kia,CNG,Manual,6.0,534076
1269,22.4,106,4,Toyota,Diesel,Manual,6.0,897657
1845,25.3,112,8,Kia,CNG,Manual,10.0,572163
2493,17.1,246,16,Tata,Diesel,Manual,4.0,733254
2885,24.4,97,19,Hyundai,Diesel,Manual,6.0,468501
3077,19.1,285,20,Honda,Petrol,Automatic,6.0,1122015
1362,20.7,112,3,Suzuki,Petrol,Manual,6.0,464524
3285,18.5,283,10,Honda,Diesel,Automatic,5.0,1413024
2599,17.3,213,2,Suzuki,Petrol,Manual,5.0,612971
2874,12.7,107,4,Tata,Diesel,Manual,7.0,1025333
1025,14.1,206,6,Suzuki,Diesel,Manual,8.0,721227
1597,13.8,123,11,Kia,Petrol,Manual,10.0,529936
3131,19.3,241,14,Toyota,Diesel,Manual,10.0,1165926
1759,10.4,184,16,Hyundai,Petrol,Manual,4.0,459629
2304,26.3,238,19,Suzuki,Petrol,Manual,8.0,704390
1252,22.4,98,2,Hyundai,Petrol,Manual,8.0,669145
1615,16.0,319,17,Suzuki,Petrol,Manual,10.0,385342
1458,11.2,62,9,Hyundai,Petrol,Automatic,5.0,472036
1346,25.6,123,17,Honda,Petrol,Manual,7.0,465725
2015,24.5,88,15,Toyota,Petrol,Automatic,8.0,918625
816,22.4,70,7,Suzuki,Diesel,Automatic,10.0,780382
2043,13.4,156,19,BMW,Diesel,Manual,8.0,1366754
3005,16.0,262,3,Hyundai,Petrol,Automatic,6.0,1414731
3324,10.1,80,1,Hyundai,Petrol,Automatic,4.0,948372
1869,11.8,98,4,Kia,Diesel,Manual,7.0,748084
3365,23.7,282,18,BMW,Diesel,Manual,10.0,1673877
2946,22.3,161,8,Toyota,Petrol,Manual,4.0,735460
2568,19.9,105,19,Hyundai,Petrol,Manual,5.0,276296
1860,25.9,125,6,Toyota,Diesel,Manual,8.0,855980
3127,19.7,150,1,Hyundai,Diesel,Automatic,8.0,1081474
3344,17.3,223,8,Tata,Petrol,Automatic,9.0,1043706
1101,14.8,170,1,Audi,Petrol,Manual,,1532389
980,26.8,182,19,Tata,Petrol,Manual,5.0,297708
1406,9.7,252,11,Hyundai,Diesel,Automatic,,918439
1499,26.6,158,15,Audi,Petrol,Manual,,1048863
1792,24.5,350,11,Suzuki,Petrol,Manual,9.0,786154
1939,10.6,218,19,Toyota,Petrol,Manual,6.0,666230
990,19.3,162,10,Hyundai,CNG,Manual,9.0,510513
3100,25.3,340,12,Kia,Diesel,Manual,,977603
1780,19.4,102,1,Honda,Diesel,Manual,6.0,766165
2806,26.1,143,7,Kia,Diesel,Manual,8.0,1031183
1984,26.9,250,17,Honda,Petrol,Manual,8.0,496200
927,16.4,110,10,BMW,CNG,Manual,,971928
2865,15.5,269,6,Honda,Petrol,Manual,9.0,905232
2616,26.7,185,17,Audi,Diesel,Automatic,4.0,1440217
2558,21.5,128,18,Honda,Petrol,Manual,8.0,657178
3413,10.3,324,5,Honda,Petrol,Manual,5.0,985471
1369,8.8,317,18,Honda,Petrol,Manual,10.0,860246
2146,19.3,247,17,Hyundai,Diesel,Manual,4.0,831702
2695,26.6,289,16,BMW,Diesel,Automatic,7.0,1688261
1425,24.9,248,8,Toyota,Petrol,Manual,9.0,928636
2486,21.5,69,13,BMW,Petrol,Manual,6.0,731423
954,10.8,173,16,Kia,CNG,Automatic,7.0,295067
3337,13.1,135,11,Audi,Petrol,Manual,4.0,1461874
2209,25.5,223,6,Hyundai,Diesel,Manual,6.0,878587
1584,11.7,144,3,Suzuki,Diesel,Manual,5.0,397263
1045,13.6,108,1,Hyundai,Petrol,Automatic,6.0,666762
2300,10.6,236,18,Tata,Petrol,Manual,6.0,468064
2505,21.5,277,5,Honda,Petrol,Automatic,5.0,1119663
1337,26.9,248,13,Kia,Petrol,Manual,8.0,583777
2690,13.4,289,10,Honda,Petrol,Manual,8.0,1046084
2641,17.5,314,5,Audi,Petrol,Automatic,6.0,1814318
1720,20.7,295,14,Suzuki,Petrol,Manual,10.0,879905
3255,28.0,85,17,Kia,Diesel,Automatic,6.0,871511
1324,10.1,131,1,Tata,Diesel,Automatic,7.0,925053
2329,18.0,320,2,Hyundai,Petrol,Automatic,,1340590
835,15.7,313,7,Suzuki,Petrol,Manual,8.0,595759
1484,25.3,330,10,Toyota,Petrol,Manual,5.0,589991
819,17.5,182,20,BMW,Petrol,Automatic,9.0,1100394
3168,10.2,203,7,Hyundai,Diesel,Manual,9.0,1107762
3359,20.7,316,16,Suzuki,Petrol,Manual,6.0,789979
1199,23.4,203,5,Toyota,Diesel,Manual,6.0,713982
1771,8.1,318,12,Toyota,Petrol,Manual,9.0,778528
2706,25.2,106,17,Tata,Diesel,Manual,7.0,765419
3318,11.7,72,16,Tata,Petrol,Manual,7.0,792662
1966,19.0,267,20,BMW,Diesel,Manual,7.0,1323433
1915,16.3,294,16,Toyota,CNG,Manual,4.0,738535
1633,22.4,208,19,Kia,Diesel,Manual,,674030
2623,15.4,214,15,Audi,Diesel,Automatic,4.0,1443918
2782,25.4,225,12,Toyota,Petrol,Automatic,6.0,947920
1653,22.6,149,10,Suzuki,CNG,Manual,7.0,688009
850,21.0,245,2,Tata,Petrol,Manual,7.0,634116
1374,23.9,233,7,Audi,Petrol,Manual,9.0,1319157
1948,23.1,276,13,Kia,Petrol,Manual,9.0,636408
2997,8.7,323,3,Tata,CNG,Automatic,10.0,980408
3161,15.9,156,15,Kia,Diesel,Automatic,7.0,900891
3417,26.6,176,1,Tata,CNG,Automatic,8.0,874005
3152,10.5,258,3,Tata,Diesel,Manual,9.0,1210020
2515,22.7,80,10,Toyota,Petrol,Manual,5.0,494589
1481,27.5,259,15,Honda,CNG,Manual,,651585
1637,9.0,307,6,Toyota,CNG,Manual,5.0,788650
1877,21.6,335,20,Tata,Petrol,Manual,9.0,385248
3291,17.4,323,15,Audi,Petrol,Manual,7.0,1444500
3460,19.6,117,7,Toyota,Diesel,Manual,6.0,1058384
3111,9.7,90,5,Tata,CNG,Manual,8.0,794881
2395,8.9,308,4,Tata,Diesel,Manual,9.0,991729
804,21.3,152,18,Toyota,Diesel,Manual,5.0,544913
1926,24.5,324,3,Toyota,CNG,Automatic,6.0,987839
2019,23.6,330,17,Audi,Diesel,Manual,9.0,1401705
1573,18.9,153,18,Kia,Diesel,Manual,7.0,588529
1676,10.0,213,18,Toyota,Diesel,Manual,10.0,895929
1791,21.8,344,2,BMW,Petrol,Automatic,7.0,1799357
846,12.8,139,13,Suzuki,Diesel,Manual,7.0,402493
1068,26.2,143,15,BMW,Petrol,Automatic,7.0,879727
1169,24.8,96,5,Audi,Diesel,Manual,9.0,1144501
1435,22.2,291,3,Honda,Petrol,Automatic,10.0,1374957
1929,27.0,152,5,BMW,Petrol,Manual,8.0,1442352
2493,8.6,161,5,Kia,Petrol,Manual,8.0,667996
2482,22.7,225,5,Tata,Diesel,Manual,5.0,767345
1456,14.6,218,3,Suzuki,Petrol,Manual,9.0,781153
919,26.1,73,3,Hyundai,Petrol,Automatic,,563927
1630,13.3,284,20,Suzuki,Petrol,Manual,10.0,471833
2610,22.5,132,18,BMW,Petrol,Manual,7.0,1293533
1881,25.6,308,20,Hyundai,Petrol,Automatic,8.0,690840
2774,8.8,150,4,Audi,Petrol,Manual,9.0,1668916
2169,16.0,275,1,Kia,Petrol,Automatic,6.0,1230520
1540,23.2,149,16,Suzuki,Petrol,Manual,8.0,377240
916,17.1,88,8,Honda,Petrol,Automatic,8.0,581673
2653,13.3,279,17,Hyundai,Petrol,Manual,10.0,807935
1950,12.4,274,8,Hyundai,Diesel,Manual,5.0,709885
2731,10.6,280,7,Suzuki,Petrol,Manual,8.0,855533
1812,25.1,101,8,BMW,Petrol,Manual,6.0,1075594
2464,19.5,194,12,Hyundai,Petrol,Manual,7.0,820723
1881,9.5,101,16,Audi,Petrol,Manual,4.0,1009850
1433,15.7,223,12,Suzuki,Petrol,Automatic,5.0,734835
1312,15.4,342,19,Audi,Petrol,Automatic,6.0,1221635
1919,11.6,117,10,Suzuki,Diesel,Automatic,5.0,384868
1941,16.7,84,7,Audi,Diesel,Automatic,9.0,1562759
1359,14.6,132,12,BMW,Petrol,Automatic,7.0,1397680
1287,14.8,188,20,Suzuki,Diesel,Automatic,8.0,200000
1696,22.8,146,5,Kia,Petrol,Automatic,9.0,957765
2012,12.5,212,16,Tata,CNG,Manual,8.0,535086
1503,20.8,241,9,Honda,Petrol,Automatic,10.0,873345
2270,19.4,184,7,BMW,Diesel,Automatic,6.0,1836799
1380,19.4,126,20,Audi,Petrol,Automatic,7.0,1088699
3094,21.3,65,14,Kia,Diesel,Manual,4.0,789077
953,19.0,184,11,Suzuki,Petrol,Manual,4.0,390775
2479,25.6,112,7,BMW,Petrol,Automatic,8.0,1428119
1796,21.5,125,10,Audi,Diesel,Automatic,9.0,1449131
2043,18.9,141,9,Toyota,Petrol,Manual,10.0,947736
1892,24.6,146,4,Toyota,Diesel,Manual,7.0,837995
1808,20.1,61,16,Hyundai,Diesel,Manual,7.0,516282
2941,13.8,263,10,Honda,Petrol,Manual,6.0,1407033
2573,12.1,209,19,Toyota,Petrol,Manual,9.0,925098
1757,11.0,162,17,Tata,Petrol,Manual,4.0,637012
1252,26.0,83,9,Audi,Diesel,Automatic,6.0,894141
2027,22.2,271,13,BMW,Petrol,Manual,5.0,1123213
3065,26.7,124,1,Suzuki,Petrol,Manual,7.0,828087
3321,20.1,268,2,BMW,CNG,Automatic,4.0,1679053
3279,17.5,310,13,Hyundai,Petrol,Manual,6.0,1171126
