age,monthly_charges,total_usage_gb,tenure_months,support_calls,late_payments,gender,contract_type,payment_method,internet_type,region,customer_segment,churn
62.0,4178.496027822985,143.61847812749227,,14.0,7.0,Female,Monthly,,,South,,
35.0,2038.178082640442,429.87913001556484,76.0,,8.0,,,Net Banking,Fiber,South,Standard,No
64.0,,149.6480240786394,22.0,1.0,0.0,Female,,,Mobile,East,Standard,
,,455.83123001373804,86.0,,1.0,Female,Yearly,Credit Card,DSL,East,Standard,Yes
43.0,3156.3272413166346,378.21114228040807,114.0,4.0,9.0,Female,,,DSL,,Premium,No
42.0,1706.286383702943,403.4288545365121,47.0,11.0,1.0,Male,Monthly,Credit Card,Fiber,West,,Yes
62.0,3308.670085321103,,81.0,10.0,3.0,Male,Monthly,Net Banking,,West,Premium,No
58.0,2342.352434860582,,,8.0,1.0,,Quarterly,,Fiber,,Standard,
,2984.212313833911,364.70214107481,46.0,7.0,6.0,Male,Monthly,Credit Card,Mobile,West,Standard,Yes
32.0,2462.569381108925,155.851792216136,,6.0,8.0,Male,Quarterly,Credit Card,,North,,
62.0,1825.0959179386296,415.55035910512925,50.0,0.0,6.0,,Yearly,Credit Card,Mobile,East,Premium,
18.0,4768.039881329705,144.3529932153903,20.0,3.0,5.0,Male,Quarterly,Credit Card,DSL,,Standard,
,3936.2260737189235,437.01315058523335,50.0,11.0,9.0,Male,Monthly,UPI,,West,Premium,No
24.0,1130.5092909490363,60.72729325390882,112.0,6.0,,,Quarterly,Credit Card,DSL,,Standard,No
26.0,4408.105891540607,353.3245588430939,33.0,,9.0,Male,Yearly,Net Banking,Fiber,,Basic,Yes
41.0,2693.4403921228113,272.6457459392306,119.0,6.0,8.0,Female,Monthly,Net Banking,,East,Premium,
18.0,4525.485021023411,,59.0,14.0,4.0,Male,Yearly,UPI,Fiber,North,Basic,No
61.0,4099.348651762919,124.73744498812529,43.0,5.0,4.0,Male,Yearly,Debit Card,Mobile,East,,No
25.0,,11.139997957270822,79.0,,,Female,Quarterly,Debit Card,Fiber,,Standard,
41.0,,237.04014290493038,12.0,10.0,8.0,Female,Yearly,Net Banking,DSL,North,,No
28.0,1709.0481172322573,154.1263040762002,40.0,12.0,,Female,Monthly,Net Banking,Mobile,South,Basic,Yes
68.0,,,118.0,5.0,,Female,Yearly,,DSL,North,Standard,Yes
34.0,3350.6519892176625,152.1327148157655,,9.0,7.0,Male,Yearly,Debit Card,,,,Yes
25.0,1660.4945844494102,,,2.0,0.0,,Quarterly,Debit Card,DSL,East,Standard,No
52.0,1127.1023333277085,372.8806333721437,38.0,3.0,0.0,Female,Yearly,Credit Card,DSL,West,Standard,No
,4257.186065596847,,3.0,,,,Quarterly,Credit Card,Mobile,West,Premium,Yes
50.0,4929.809813165984,451.9330226200337,28.0,2.0,4.0,Male,Quarterly,Credit Card,Mobile,South,Basic,
22.0,2865.6058203620864,426.8706178236348,56.0,0.0,8.0,Male,Monthly,UPI,,East,Basic,No
59.0,,335.5633181970712,,14.0,,,Monthly,Net Banking,Fiber,West,Standard,Yes
,1725.3829693371604,298.64467720315525,94.0,9.0,,Male,,UPI,DSL,East,Premium,Yes
,,446.68973657912784,13.0,4.0,7.0,Female,,,,South,Basic,No
,4614.344629522246,96.73843886671365,,14.0,,,Quarterly,Net Banking,DSL,South,,Yes
,,44.08973528446016,66.0,0.0,,,Yearly,Credit Card,Mobile,,,
26.0,3094.324139814141,123.55753410522136,37.0,,0.0,Female,Monthly,UPI,Mobile,,,Yes
,1733.248493092427,398.31624795659417,49.0,1.0,0.0,,Monthly,UPI,Fiber,,Basic,Yes
,,,102.0,12.0,4.0,Male,Monthly,Credit Card,,North,Standard,No
,3431.391747583389,293.4893833663274,66.0,3.0,,Male,Yearly,,Fiber,South,Standard,No
50.0,4233.838116682407,497.7415705146984,36.0,5.0,7.0,Male,Monthly,Credit Card,Mobile,South,Standard,
65.0,1428.8957229227144,428.569566449582,,7.0,9.0,,Yearly,,,South,Standard,No
,549.4812289631622,263.11561607657677,26.0,12.0,4.0,Female,Quarterly,Net Banking,Mobile,South,Basic,No
41.0,1115.9853353096328,36.50225009688796,,2.0,,,Quarterly,,Fiber,East,Premium,Yes
54.0,4550.083888316472,,,0.0,1.0,Male,Quarterly,Debit Card,Mobile,West,Standard,Yes
,4432.5053490313185,301.4943615477192,108.0,2.0,,Female,Yearly,Credit Card,DSL,West,,No
61.0,3188.358959766387,,40.0,,7.0,Female,Monthly,,,,Basic,
,,,,2.0,9.0,Female,Monthly,Debit Card,Mobile,,Standard,
39.0,3492.6650354581498,455.26527562111323,,4.0,,Male,Monthly,,Fiber,,Standard,Yes
,1289.1707538055232,336.25413015434884,,,1.0,Male,Monthly,,Fiber,West,Premium,Yes
52.0,4614.853756662319,415.496965661794,8.0,11.0,,,Monthly,UPI,Mobile,,,No
,2384.467362014329,440.09455563972233,29.0,11.0,3.0,Female,Yearly,UPI,Mobile,South,Basic,No
52.0,2224.1233771227385,,40.0,3.0,4.0,,Quarterly,,Fiber,East,Premium,
54.0,2835.129673772769,261.13594411874544,90.0,12.0,1.0,Male,,Debit Card,Fiber,North,,Yes
,711.3468504877477,218.06156810889016,30.0,3.0,,Male,Quarterly,Net Banking,Mobile,North,Premium,No
31.0,1248.2751594023573,161.88856095660404,81.0,8.0,8.0,Female,Yearly,,DSL,North,,No
20.0,3821.151273918667,220.1250006250623,84.0,6.0,0.0,Female,Yearly,Credit Card,Fiber,West,Standard,
18.0,872.5940056630691,,116.0,,3.0,,Monthly,Debit Card,Fiber,,,No
,3214.184492598747,302.9520983524901,55.0,2.0,1.0,Female,Yearly,Net Banking,DSL,,Standard,
,1604.0709935659443,446.79902852764883,16.0,5.0,3.0,Female,Quarterly,UPI,,North,Basic,No
31.0,2251.8302631888946,224.47310711769794,,2.0,7.0,,Monthly,Net Banking,Mobile,East,,Yes
56.0,,305.5093414657832,62.0,5.0,7.0,Female,,UPI,DSL,West,Standard,Yes
44.0,,317.4972387805344,107.0,10.0,8.0,Female,Quarterly,Credit Card,Mobile,West,Premium,Yes
,3735.7065733291047,297.89009534163114,7.0,,4.0,Female,Monthly,Net Banking,Mobile,,,Yes
32.0,1837.0477203042876,352.8037176773306,80.0,10.0,6.0,Female,Monthly,,Fiber,East,,No
32.0,3048.8208813360375,122.5295668455291,,12.0,2.0,Male,Quarterly,Debit Card,Fiber,,Standard,
43.0,2642.2268098959485,,59.0,12.0,9.0,Male,Monthly,UPI,Fiber,,,Yes
59.0,3486.5202441319166,56.5912773901321,,11.0,3.0,Female,Monthly,Debit Card,DSL,North,Premium,
,,195.3331071841822,56.0,,9.0,Female,Quarterly,Net Banking,Mobile,West,Standard,Yes
,3796.5744374461265,246.3951989675259,48.0,5.0,8.0,,Yearly,Credit Card,,,,No
,1467.2317036584054,327.8510084750089,27.0,,9.0,Male,Quarterly,,Fiber,South,Basic,No
56.0,640.324107775781,475.51287103017074,53.0,3.0,9.0,Male,Monthly,Net Banking,,East,Standard,
,1680.188199349213,302.32227794143614,87.0,14.0,0.0,,,,DSL,,Standard,Yes
69.0,,373.07898850739707,88.0,4.0,1.0,Male,Monthly,Credit Card,Mobile,South,Standard,Yes
49.0,731.4161606791265,255.60169945012535,73.0,12.0,4.0,,Monthly,UPI,DSL,East,Premium,Yes
21.0,,318.881495531284,,5.0,,Female,Quarterly,,Mobile,South,,Yes
47.0,3185.7928201260015,40.11144698621785,51.0,10.0,,,Monthly,Debit Card,DSL,South,,Yes
,2004.0975086763237,130.92383251671424,84.0,2.0,,,Yearly,UPI,Fiber,,Basic,
40.0,3969.1049168561985,184.11728113654365,37.0,,,Female,Monthly,Credit Card,DSL,East,,No
56.0,979.6921391019731,,106.0,3.0,2.0,Female,Quarterly,Credit Card,,South,,No
62.0,838.1200178111394,27.59612902367995,,7.0,0.0,Female,Yearly,Debit Card,,West,,No
32.0,3776.8494029162152,74.31192828889225,111.0,9.0,0.0,Male,Yearly,Credit Card,Mobile,,,No
60.0,2729.710922927893,142.02308235669636,95.0,,0.0,Female,Monthly,UPI,Mobile,West,,Yes
46.0,,,,2.0,7.0,Male,Quarterly,Net Banking,Fiber,North,,
,2456.723023716858,169.01676851601013,57.0,9.0,2.0,Female,,UPI,DSL,West,,Yes
30.0,1608.8091495759807,243.61032376548084,8.0,6.0,0.0,Female,Monthly,Debit Card,DSL,East,Premium,No
,4185.960429533899,102.06836780550451,79.0,10.0,,Male,Quarterly,Debit Card,DSL,South,,Yes
24.0,4097.371455360407,307.3361351825053,95.0,12.0,9.0,Male,Quarterly,Debit Card,Mobile,South,Premium,Yes
68.0,3626.1341188449205,143.93819168040727,,11.0,,,Monthly,Credit Card,DSL,East,Basic,Yes
39.0,1724.653117534832,107.46132632702125,94.0,,7.0,Male,Yearly,UPI,Mobile,South,Standard,Yes
,3156.038000910892,260.70345108075963,110.0,3.0,3.0,,Monthly,Net Banking,DSL,West,,Yes
19.0,2124.3825362301204,,,7.0,3.0,Female,Yearly,UPI,Fiber,South,Standard,
59.0,912.1193299698537,,103.0,2.0,,Male,Monthly,Net Banking,Fiber,South,Basic,No
62.0,4627.911089580092,113.4390605054196,53.0,6.0,5.0,Male,Quarterly,UPI,Mobile,,,Yes
23.0,1115.6838391353263,23.177074437906466,119.0,2.0,6.0,,Yearly,Debit Card,Mobile,West,,Yes
45.0,4776.068092193611,58.47274829469223,,11.0,3.0,Male,Quarterly,,Fiber,,Premium,No
,,172.73602142268203,49.0,14.0,7.0,,Quarterly,UPI,Fiber,North,Premium,Yes
61.0,1333.0981797737884,402.27991139200736,17.0,14.0,5.0,Male,Quarterly,Credit Card,DSL,,Basic,
,2938.5542632026118,288.1640784678039,64.0,6.0,0.0,Male,Quarterly,,Fiber,West,Basic,No
,,258.77052434842614,,13.0,0.0,Male,Quarterly,,Mobile,North,,Yes
47.0,3795.0119888430254,150.2769674880202,94.0,10.0,8.0,Male,Monthly,Debit Card,Fiber,,Premium,
28.0,4129.525165376524,466.2180911192441,29.0,9.0,9.0,,Yearly,Net Banking,Mobile,West,,No
,3464.525150198228,201.52244541240987,19.0,9.0,5.0,Female,Monthly,,Mobile,,Premium,Yes
,3615.244540330336,48.11091956390689,110.0,10.0,9.0,Female,Monthly,Credit Card,DSL,West,,
,4321.380432043937,310.4479254783116,11.0,10.0,7.0,,Monthly,,DSL,West,,
50.0,1623.5060398663368,61.3500047709177,98.0,5.0,6.0,,Quarterly,Credit Card,,North,Standard,No
,2702.412336394132,,,1.0,,Female,Monthly,Credit Card,,East,Standard,Yes
,,256.16890966531537,71.0,10.0,,Male,Yearly,UPI,Fiber,South,,
,4944.506035984911,437.74014971916205,,2.0,6.0,,Monthly,,DSL,South,Premium,No
30.0,4748.267028589759,249.30555726835874,58.0,5.0,8.0,,Quarterly,Net Banking,Fiber,East,,No
58.0,677.4206511582765,352.6180891856738,,13.0,,Male,Yearly,Debit Card,DSL,West,Premium,No
,3675.088276320598,496.44433530453983,20.0,,9.0,,Yearly,,DSL,North,Standard,No
56.0,4663.617428370496,70.08711434950091,50.0,5.0,6.0,Male,Yearly,Net Banking,Mobile,,Basic,Yes
,1312.5890530730007,140.99210513216215,102.0,0.0,0.0,Male,Yearly,UPI,Fiber,,Basic,No
25.0,3055.7535374868326,,88.0,,9.0,Female,Monthly,Credit Card,Mobile,,,No
44.0,4619.697339146188,213.80494837672154,10.0,11.0,,Female,Quarterly,Credit Card,DSL,North,,Yes
,652.7569036360948,,32.0,0.0,,Male,Yearly,Net Banking,Fiber,East,Premium,Yes
,3638.3912026107796,454.2674462654947,52.0,2.0,2.0,Female,Yearly,Net Banking,DSL,,Basic,No
50.0,1838.0705331764784,358.4461590110939,15.0,7.0,,Male,Quarterly,Debit Card,Mobile,West,,Yes
,,,101.0,7.0,3.0,Female,,Net Banking,Fiber,South,Basic,
59.0,4869.762103244155,158.13949534207714,84.0,10.0,9.0,Female,Yearly,,Mobile,,Standard,Yes
61.0,4749.199201010452,412.7762401895409,3.0,3.0,1.0,,Monthly,UPI,DSL,North,Standard,No
,2633.963974958587,477.75495318506955,37.0,5.0,0.0,Male,Monthly,,DSL,West,,Yes
32.0,4379.19192945191,411.49314986236215,40.0,14.0,9.0,Male,Monthly,,DSL,South,,No
49.0,4300.472293407816,5.774727069779088,72.0,7.0,0.0,,Monthly,Debit Card,Fiber,North,,No
49.0,1935.9521295946504,,40.0,6.0,7.0,Male,Yearly,Net Banking,Mobile,East,Basic,Yes
,,,108.0,10.0,1.0,Male,Yearly,,Mobile,West,,
58.0,666.5343562197168,132.5155740651923,56.0,6.0,9.0,Female,Monthly,Net Banking,DSL,South,Standard,
69.0,3183.214453169239,34.46472667214698,23.0,,4.0,Female,Monthly,UPI,Mobile,East,,
66.0,,,,3.0,3.0,Male,,Credit Card,Fiber,South,Standard,
66.0,1042.5509859977547,344.8620071788404,,8.0,,Male,Quarterly,,DSL,,Basic,Yes
,846.2894073314412,61.67138084262303,110.0,11.0,1.0,Male,Quarterly,UPI,DSL,North,,Yes
29.0,3633.299491451629,195.00024710726484,,,9.0,Male,Yearly,Credit Card,DSL,,,Yes
56.0,2029.4373369562977,,8.0,,8.0,Female,,Net Banking,Fiber,South,,Yes
19.0,3761.4504718794265,187.68124577165372,93.0,13.0,6.0,Female,Yearly,UPI,DSL,South,Basic,Yes
20.0,794.1035335952406,64.90737524017055,,11.0,6.0,,Yearly,Debit Card,DSL,South,Premium,Yes
,1918.8065202377466,,,10.0,0.0,Male,,UPI,DSL,,Basic,Yes
,2927.7108156890176,,60.0,2.0,1.0,Male,Yearly,Debit Card,DSL,West,Standard,Yes
66.0,4058.254241775336,40.14879394396146,,4.0,3.0,Female,Quarterly,Net Banking,Mobile,South,Premium,
34.0,,44.689106970542205,39.0,4.0,3.0,Male,Monthly,UPI,DSL,South,Standard,Yes
66.0,3316.5111939665408,180.61178945881218,28.0,13.0,2.0,,Monthly,,Fiber,East,,Yes
19.0,4486.8998670628425,471.1542272513679,49.0,4.0,6.0,Female,,Credit Card,,South,Standard,No
19.0,3271.3843468203704,335.94346012784246,36.0,7.0,7.0,Female,Quarterly,UPI,DSL,,Basic,No
45.0,,340.94162855291955,13.0,8.0,1.0,,Monthly,,Mobile,East,Premium,No
40.0,609.8035170044211,,96.0,12.0,3.0,,Quarterly,Credit Card,DSL,East,,
,4415.444932554185,298.8620916482265,36.0,8.0,,,Quarterly,Debit Card,,East,Standard,No
49.0,595.7123488267421,10.014936093732972,101.0,,1.0,,Quarterly,UPI,Fiber,,Basic,
50.0,4436.157527078897,319.8675429727234,26.0,5.0,5.0,Male,Monthly,UPI,Mobile,East,Standard,Yes
18.0,2880.217103122454,457.0770390502372,86.0,5.0,3.0,Female,Monthly,Net Banking,DSL,South,Standard,No
36.0,4725.804643308033,308.2238668306855,4.0,8.0,5.0,,Monthly,Credit Card,Fiber,North,Premium,
19.0,4094.5245609814942,437.4808037658408,95.0,3.0,1.0,Female,Yearly,UPI,DSL,North,Basic,No
,4990.703497400019,363.36666245571644,82.0,5.0,3.0,Male,Quarterly,,Mobile,North,Basic,Yes
43.0,2078.203169532696,64.67641611982668,,3.0,5.0,Female,Yearly,Credit Card,Fiber,,Premium,No
49.0,3952.347300190071,451.71438710649164,38.0,10.0,4.0,Female,,UPI,,North,Premium,
23.0,2308.6891112415897,37.889702956108565,88.0,0.0,,Male,Monthly,Credit Card,Mobile,,,No
,2659.44029136759,269.31389891114304,87.0,6.0,7.0,Male,Quarterly,,Mobile,,,
21.0,3323.7745844826654,,22.0,13.0,6.0,Female,Quarterly,Credit Card,Fiber,East,Premium,Yes
,4431.547013838524,10.794772311797512,2.0,9.0,,Female,,Net Banking,Fiber,West,Premium,Yes
34.0,4928.375611396828,,31.0,10.0,5.0,,Quarterly,,Mobile,South,Basic,
55.0,,151.04515028880735,119.0,,3.0,Male,Monthly,,DSL,South,Premium,Yes
41.0,2379.950519753002,245.5702444298135,11.0,5.0,4.0,Female,Quarterly,,Fiber,East,Standard,
22.0,2396.1065102468156,290.71394393360265,92.0,8.0,4.0,Female,Quarterly,,Mobile,East,Standard,No
69.0,3819.120357150012,26.650840792928943,46.0,,6.0,Male,,Net Banking,DSL,,,
51.0,1574.4971559573605,65.88663108625408,96.0,12.0,4.0,Female,Yearly,Credit Card,Fiber,West,Premium,No
23.0,997.133509091276,281.52798624296054,,6.0,2.0,Male,Quarterly,,Fiber,,Standard,
,,174.86783982046583,69.0,1.0,9.0,Female,Quarterly,Debit Card,Mobile,East,,No
28.0,1792.5754624433678,365.94087633697677,64.0,11.0,4.0,,Yearly,UPI,DSL,North,,No
65.0,,327.8843660530101,102.0,10.0,6.0,Male,,Credit Card,Fiber,,Premium,Yes
,1551.2348797245947,423.5741596800039,10.0,14.0,4.0,Female,,Debit Card,,,Basic,Yes
,,347.7839492012665,,8.0,4.0,Female,Yearly,,DSL,North,,No
26.0,,,110.0,9.0,8.0,Male,Monthly,UPI,Fiber,West,Basic,Yes
,,338.118478085244,24.0,,2.0,Female,Monthly,,,North,Standard,No
,2424.9791018113806,141.31368125643218,99.0,5.0,5.0,Female,Quarterly,Credit Card,Fiber,North,Standard,Yes
46.0,2229.4699122185675,156.62518189521526,44.0,12.0,0.0,Female,Monthly,,DSL,West,,No
20.0,3558.4127721188142,395.5476541607927,,2.0,,,Quarterly,UPI,,West,Premium,Yes
37.0,,,,0.0,4.0,,Monthly,Net Banking,Mobile,West,,Yes
,4774.825327776014,400.1982685565845,62.0,3.0,7.0,,Yearly,Credit Card,Fiber,,,Yes
,4038.552564869984,,87.0,,4.0,Male,,Credit Card,Fiber,North,,
43.0,902.3495104051678,,,13.0,8.0,,Monthly,,Fiber,East,Premium,No
,2379.1134910321775,458.73444174139763,65.0,2.0,5.0,Female,Monthly,UPI,DSL,West,,Yes
36.0,,218.33768415408164,119.0,13.0,,Male,Quarterly,Credit Card,Mobile,West,,No
,4751.2941003113465,162.83907506896372,95.0,11.0,,Male,,Debit Card,,North,,Yes
49.0,2603.306800624414,293.18837956408635,95.0,0.0,,Female,Quarterly,,DSL,,Standard,Yes
24.0,,188.73034960162565,106.0,2.0,2.0,Female,Yearly,,Fiber,North,Premium,
,1251.6527574143386,302.5317125661153,57.0,13.0,6.0,Male,Yearly,UPI,DSL,,,Yes
58.0,4960.2588176163945,,55.0,13.0,6.0,Male,Yearly,,Fiber,,,Yes
,1542.5226562254952,345.76048415360776,106.0,3.0,9.0,Female,Yearly,Net Banking,Mobile,West,Standard,No
,4742.292983608066,190.40367907496008,53.0,12.0,,Female,Quarterly,,DSL,South,,Yes
56.0,3423.409920465658,87.59579984088265,,12.0,6.0,Female,Yearly,Credit Card,DSL,East,,
