Years_of_Experience,Salary
2.4,36645.12
14.56,91000.15
7.08,47724.23
3.92,36636.0
1.57,36538.5
2.96,49884.14
8.04,72529.56
5.39,43021.93
12.52,73637.1
6.75,54866.44
4.11,26384.27
9.45,69828.35
10.75,72560.53
2.92,30882.25
2.93,21894.77
1.03,29267.48
11.18,71627.54
10.13,61266.49
7.38,33932.64
12.74,83482.24
12.18,95089.1
8.99,78228.27
13.09,81792.9
3.48,32605.79
2.12,34364.37
4.41,34069.76
1.33,29053.13
8.2,67138.43
14.08,100219.38
1.07,24551.17
2.27,29723.58
7.06,48260.57
14.04,83590.9
5.08,43609.49
7.85,62213.45
1.1,32822.71
2.65,26829.45
14.81,105972.19
14.49,90302.12
0.57,22687.21
14.3,85528.66
9.77,49442.27
13.08,92496.44
7.09,61363.39
7.98,57630.09
7.59,58477.3
10.17,74975.17
2.52,20124.35
0.93,20440.66
4.96,51179.04
10.72,63555.04
3.43,39482.84
10.26,60471.2
14.56,96550.06
1.86,29022.67
10.25,58342.6
6.93,63989.81
13.09,79563.58
3.07,28861.34
10.54,74319.94
12.65,92452.46
14.2,82857.96
10.41,72528.92
7.71,61975.7
9.46,72838.77
13.1,86907.14
8.77,60932.98
0.94,18082.34
14.0,90682.93
10.5,63913.58
10.31,48176.42
3.63,41628.93
10.05,77500.68
6.21,32151.71
9.94,61636.55
2.05,35181.23
10.04,86653.75
14.99,95123.84
1.2,20171.35
14.67,91881.96
6.4,62999.84
13.13,80461.91
11.84,72829.41
8.72,59746.73
11.21,68410.94
13.24,87173.74
6.36,64797.6
5.24,48794.54
10.18,68881.69
12.21,78734.34
11.55,65260.15
12.07,87406.37
6.82,53457.09
12.36,80349.14
2.24,56760.02
8.4,64365.48
0.58,16903.17
5.21,42621.61
5.81,58256.03
6.24,52128.68
10.58,61415.15
6.13,58024.29
7.01,49685.13
3.94,54708.33
5.91,58201.14
3.8,35398.47
1.56,38054.84
9.25,66792.87
10.19,77767.62
9.48,71290.91
7.22,49332.46
6.01,44886.07
13.02,93331.38
8.03,57455.23
7.45,54011.5
0.87,16718.07
5.45,50629.26
6.01,66564.38
6.28,42874.39
8.91,64756.25
8.24,72483.95
9.31,65935.99
11.59,81573.01
12.29,72942.32
10.91,77990.38
14.36,90278.31
0.76,31707.7
3.34,46192.99
0.61,43764.82
9.89,74078.98
13.52,90213.59
4.03,41707.54
13.94,86884.67
1.37,29577.26
14.05,87883.4
5.6,49340.33
1.97,40393.79
7.55,49673.36
4.22,50235.33
4.63,53690.21
4.96,43833.97
12.14,63744.54
8.32,56726.62
5.01,55445.76
9.35,66566.25
10.88,66426.51
4.45,38227.04
6.5,59207.27
2.27,35710.61
3.13,33721.87
10.38,68946.45
3.13,32520.22
8.11,53195.06
10.78,86828.86
2.05,27670.01
8.73,73367.4
4.22,53271.33
14.46,100298.69
7.51,54104.1
12.19,84164.3
8.48,62197.86
1.13,18417.79
9.68,70998.35
14.3,82044.42
9.22,75618.29
12.38,78174.25
13.32,88214.25
3.81,41302.09
3.57,35802.01
9.36,71489.67
6.46,48500.33
12.68,90360.32
13.55,76983.84
5.62,49134.09
3.93,55184.55
11.82,71085.45
4.48,37001.48
12.43,86250.8
6.64,54657.68
10.18,73702.41
1.89,33339.81
9.55,72807.57
7.05,64130.76
9.01,68307.66
2.94,32750.97
11.18,81303.94
13.01,100251.84
3.64,37152.57
1.89,21643.07
0.84,33070.44
9.81,68079.88
9.3,49132.96
8.43,68914.94
3.86,35033.54
6.17,50116.42
9.12,68255.38
7.7,60039.59
14.82,99790.06
2.48,28907.99
10.58,77002.83
6.36,49736.74
6.71,59454.96
10.91,79448.78
10.54,65218.11
14.87,103053.92
2.36,27520.88
2.01,36512.41
11.0,77952.86
8.89,79138.52
4.48,40588.92
1.65,25463.37
1.74,28554.87
13.47,84903.4
3.28,42809.92
5.19,33013.95
3.79,30503.13
5.65,39694.81
1.51,35135.69
8.03,73816.74
1.48,26566.32
12.11,79175.27
3.89,40004.54
8.33,70945.89
13.26,78886.91
9.94,71595.56
8.23,68941.02
5.2,50022.95
5.33,48159.29
10.21,79046.17
14.92,72949.25
10.1,75906.34
8.59,57706.69
11.09,60827.1
7.25,60317.03
1.37,37849.59
8.65,62166.93
14.39,99550.83
3.04,48107.69
10.51,83044.67
3.41,50187.41
8.27,67284.53
1.9,30112.51
7.03,42336.17
11.46,75353.34
5.54,40952.96
10.14,88073.64
12.03,78763.04
13.94,90706.03
3.9,43923.43
6.29,51799.22
2.71,47110.57
14.89,89473.86
13.94,91264.43
8.33,55707.13
12.71,72987.23
8.05,55375.3
9.54,67413.67
